,Title,Cast,Director,Release Date,Running Time,Country,Production Company,IMDb Score,Genre,Description,Box Office,Wins_Nominations,IMDb Votes,Rated,Type
220,The Dirt,"Douglas Booth, Iwan Rheon, Colson Baker",Jeff Tremaine,"['March 18, 2019 ', 'March 22, 2019 ']",108 minutes,United States,"['10th Street Entertainment', 'LBI Entertainment']",7.0,"Biography, Comedy, Drama","Based on the bestselling autobiography from Mötley Crüe, the film is an unflinching tale of success and excess as four misfits rise from the streets of Hollywood to the heights of international fame.",,1 win,"53,580",TV-MA,movie
221,The Highwaymen,"Kevin Costner, Woody Harrelson, Kathy Bates",John Lee Hancock,"['March 10, 2019 ', 'March 15, 2019 ']",132 minutes,United States,Casey Silver Productions,6.9,"Biography, Crime, Drama",The untold true story of the legendary detectives who brought down Bonnie and Clyde.,,3 nominations,"98,360",R,movie
222,15 August,"Abhishek Deshmukh, Mrunmayee Deshpande, Namrata Kadam",Swapnaneel Jaykar,,124 minutes,India,,5.9,Drama,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",,N/A,304,N/A,movie
223,Unicorn Store,"Brie Larson, Samuel L. Jackson, Joan Cusack",Brie Larson,"['September 11, 2017 ', 'April 5, 2019 ']",92 minutes,United States,"['Rhea Films', 'The District', 'Rip Cord Productions', 'Sycamore Pictures', 'Hercules Film Fund', '51 Entertainment']",5.6,"Comedy, Drama, Fantasy","Kit, a twenty-something dreamer, receives an invitation that would fulfill her childhood dreams.",,2 nominations,"20,357",TV-PG,movie
224,Who Would You Take to a Deserted Island?,"Pol Monen, Jaime Lorente, Andrea Ros",Jota Linares,"['22 March 2019 ', '12 April 2019 ']",,Spain,,5.3,Drama,Four friends have lived in a world of their own for 8 years as they shared a flat in Madrid. They prepare to face changes to their lives at the end of the summer.,,1 win & 2 nominations,"2,638",TV-MA,movie
225,The Perfect Date,"Noah Centineo, Laura Marano, Odiseas Georgiadis",Chris Nelson,,90 minutes,United States,"['Ace Entertainment', 'AwesomenessFilms']",5.8,"Comedy, Romance","To save up for college, Brooks Rattigan creates an app where anyone can pay him to play the perfect stand-in boyfriend for any occasion.",,3 wins & 2 nominations,"41,882",TV-14,movie
226,Someone Great,"Gina Rodriguez, LaKeith Stanfield, Brittany Snow",Jennifer Kaytin Robinson,,92 minutes,United States,"['Feigco Entertainment', 'Likely Story', 'I Can & I Will Productions']",6.2,"Comedy, Romance","After a devastating break up on the eve of her cross-country move, Jenny enjoys one last NYC adventure with her two best pals. Someone Great is a romantic comedy about love, loss, growth and the everlasting bond of female friendship.",,N/A,"24,445",R,movie
227,Music Teacher,"Neena Gupta, Divya Dutta, Manav Kaul",Sarthak Dasgupta,,101 minutes,India,"['Saregama India', 'Yoodlee films']",6.2,"Drama, Romance",A dejected small-town music teacher grapples with guilt and regret when his ex-pupil who once loved him returns home as the star he always wanted to be.,,N/A,721,N/A,movie
228,Despite Everything,"Blanca Suárez, Macarena García, Amaia Salamanca",Gabriela Tagliavini,"['16 March 2019 ', '3 May 2019 ']",78 minutes,Spain,"['Bambú Producciones', 'Cinephile Pictures']",5.4,Comedy,"Four different sisters who all have their own little secrets attend their mother's funeral in Madrid, where the will reveals that their dad was not their biological father, so they go on a quest together seeking their biological f...",,N/A,"5,376",TV-MA,movie
229,The Last Summer,"K.J. Apa, Maia Mitchell, Norman Johnson Jr.",William Bindley,,110 minutes,United States,Gulfstream Pictures,5.5,"Comedy, Romance","Standing on the precipice of adulthood, a group of friends navigate new relationships, while reexamining others, during their final summer before college.",,3 nominations,"14,004",TV-14,movie
230,Wine Country,"Amy Poehler, Rachel Dratch, Ana Gasteyer",Amy Poehler,,103 minutes,United States,"['Paper Kite Productions', 'Paper Pictures', 'Dunshire Productions']",5.5,"Adventure, Comedy, Drama","During a vacation to Napa Valley, a group of long time friends reunite and revisit past choices in this hilarious and heartfelt comedy from director Amy Poehler.",,1 nomination,"22,453",R,movie
231,Good Sam,"Tiya Sircar, Chad Connell, Marco Grazzini",,,90 minutes,United States,"['Muse Entertainment', 'Wind Dancer Films']",5.7,"Comedy, Drama, Romance","When a mysterious good samaritan leaves $100,000 cash on seemingly random doorsteps, New York City news reporter Kate Bradley sets out to discover the true identity and motive of ""Good Sam.""",,N/A,"3,245",TV-PG,movie
232,See You Yesterday,"Eden Duncan-Smith, Dante Crichlow, Astro",Stefon Bristol,,87 minutes,United States,40 Acres and a Mule Filmworks,5.3,"Action, Adventure, Crime","Two Brooklyn teenage prodigies, C.J. Walker and Sebastian Thomas, build makeshift time machines to save C.J.'s brother, Calvin, from being wrongfully killed by a police officer.",,2 wins & 2 nominations,"11,378",TV-MA,movie
233,Rim of the World,"Jack Gore, Miya Cech, Benjamin Flores Jr.",McG,,98 minutes,United States,"['Wonderland Sound and Vision', 'Circle Of Confusion']",5.2,"Action, Adventure, Comedy",Four misfit campers must band together and conquer their fears in order to save the world during an alien invasion.,,N/A,"24,741",TV-14,movie
234,The Perfection,"Marie Maskell, Allison Williams, Christina Jastrzembska",Richard Shepard,"['September 20, 2018 ', 'May 24, 2019 ']",90 minutes,"United States, Canada","['Miramax', 'Capstone Film Group']",6.2,"Drama, Horror, Music","When troubled musical prodigy Charlotte seeks out Elizabeth, the new star pupil of her former school, the encounter sends both musicians down a sinister path with shocking consequences.",,3 wins,"47,736",TV-MA,movie
235,Always Be My Maybe,"Ali Wong, Randall Park, James Saito",Nahnatchka Khan,,102 minutes,United States,Good Universe,6.8,"Comedy, Romance","Everyone assumed that Sasha and Marcus would wind up together, except for Sasha and Marcus. Reconnecting after 15 years, the two start to wonder--maybe?",,1 win & 5 nominations,"60,955",PG-13,movie
236,Chopsticks,"Abhay Deol, Mithila Palkar, Vijay Raaz",Sachin Yardi,,100 minutes,India,Viniyard Productions,6.5,"Comedy, Drama",A gifted but insecure woman is in for a transformative experience when she enlists an enigmatic con to help recover her stolen car from a Mumbai thug.,,N/A,"5,066",N/A,movie
237,Elisa & Marcela,"Anna Carvalho, Nuno Nunes, André Santos",Isabel Coixet,"['13 February 2019 ', '24 May 2019 ']",,Portugal,"['Movies Production 2017 AIE', 'Zenit Televisión', 'Lanube Películas', 'Rodar y Rodar']",8.9,Short,N/A,,N/A,12,N/A,movie
238,Pachamama,"Andrea Santamaria, India Coenen, Saïd Amadis",Juan Antin,"['October 20, 2018 ', 'December 12, 2018']",72 minutes,"France, Luxembourg, Canada",Folivari,6.8,"Animation, Adventure, Family",A young boy living in a remote village in the Andes Mountains dreams of becoming shaman.,,2 nominations,975,PG,movie
239,Murder Mystery,"Adam Sandler, Jennifer Aniston, Luke Evans",Kyle Newacheck,,97 minutes,"United States, Italy, Canada","['Happy Madison Productions', 'Endgame Entertainment', 'Vinson Films', 'Tower Hill Entertainment', 'Mythology Entertainment', 'Denver and Delilah Productions']",6.0,"Action, Comedy, Crime","A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire.",,1 win & 6 nominations,"160,975",PG-13,movie
240,Beats,"Khalil Everage, Evan J. Simpson, Ashley Jackson",Chris Robinson,,110 minutes,United States,"['Global Road Entertainment', '51 Minds Entertainment', 'Endemol Shine North America']",6.4,Drama,"A reclusive teenage musical prodigy forms an unlikely friendship with a down-on-his-luck high school security guard. United by their mutual love of hiphop, they confront the demons of their past and try to break into Chicago's mus...",,1 nomination,"5,787",TV-MA,movie
241,Point Blank,"Lee Marvin, Angie Dickinson, Keenan Wynn",Joe Lynch,,87 minutes,United States,"['Gaumont Film Company', 'WarParty']",7.3,"Crime, Drama, Thriller","After being double-crossed and left for dead, a mysterious man named Walker single-mindedly tries to retrieve the money that was stolen from him.",,1 win,"22,552",Not Rated,movie
242,Secret Obsession,"Brenda Song, Mike Vogel, Dennis Haysbert",Peter Sullivan,,97 minutes,United States,['Hybrid Films'],4.5,"Crime, Drama, Mystery","Recuperating from trauma, Jennifer remains in danger as she returns to a life she doesn't remember.",,N/A,"23,224",TV-14,movie
243,The Red Sea Diving Resort,"Mbulelo Grootboom, Sizo Mahlangu, Michael Kenneth Williams",Gideon Raff,"['July 28, 2019 ', 'July 31, 2019 ']",130 minutes,Canada,"['Bron Studios', 'EMJAG Productions', 'Shaken Not Stirred']",6.6,"Drama, History, Thriller",Israel's Mossad agents attempt to rescue Ethiopian Jewish refugees in Sudan in 1979.,,N/A,"31,507",TV-MA,movie
244,Otherhood,"Angela Bassett, Patricia Arquette, Felicity Huffman",Cindy Chupack,"['July 21, 2019 ', 'August 2, 2019 ']",100 minutes,"United Kingdom, United States","['Mandalay Pictures', 'Welle Entertainment']",6.1,Comedy,"A grounded, soulful, celebratory comedy about three mothers and their adult sons. The film explores the stage after motherhood, Otherhood, when you have to redefine your relationship with your children, friends, spouse, and most i...",,1 win,"12,127",R,movie
