,Title,Cast,Director,Release Date,Running Time,Country,Production Company,IMDb Score,Genre,Description,Box Office,Wins_Nominations,IMDb Votes,Rated,Type
494,Road to Roma,"Yalitza Aparicio, Odín Ayala, Eugenio Caballero","['Andres Clariond', 'Gabriel Nuncio']",,72 minutes,Mexico,Netflix Studios,7.7,Documentary,Director Alfonso Cuaron reflects on the creative decisions behind ROMA.,,N/A,719,N/A,movie
495,Sitara: Let Girls Dream,N/A,Sharmeen Obaid-Chinoy,,15 minutes,"Pakistan, United States","['Netflix', 'Waadi Animations']",7.1,"Animation, Short, Drama","The short tells the story of Pari, a 14-year-old girl who dreams of becoming a pilot while growing up in a society that doesn't allow her to dream.",,3 wins,793,N/A,movie
496,Ben Platt Live from Radio City Music Hall,"Ben Platt, Crystal Monee Hall, Kojo Littles","['Alex Timbers', 'Sam Wrench']",,85 minutes,United States,"['Fulwell 73', 'Noah Gellman Productions, LLC.']",8.3,Music,"Backed by a full band and a ready wit, actor Ben Platt opens up a very personal songbook onstage - numbers from his debut LP, ""Sing to Me Instead.""",,N/A,533,TV-PG,movie
497,The Boys in the Band,"Jim Parsons, Zachary Quinto, Matt Bomer",Joe Mantello,,122 minutes,"United States, Canada",Ryan Murphy Productions,6.8,Drama,"At a birthday party in 1968 New York, a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths.",,1 win & 5 nominations,"17,166",R,movie
498,Sarah Cooper: Everything's Fine,"Marisa Tomei, Winona Ryder, Aubrey Plaza",Natasha Lyonne,,49 minutes,United States,,5.5,Comedy,"A variety special full of issues of politics, race, gender and class. Sarah will also be joined by special guests.",,1 nomination,"1,821",TV-MA,movie
499,I'm No Longer Here,"Juan Daniel García Treviño, Emily May Jampel, Xueming Angelina Chen",Fernando Frías de la Parra,"['21 October 2019 ', '27 February 2020 ', '27 May 2020 ']",112 minutes,"Mexico, United States","['Panorama Global', 'PPW Films']",7.3,Drama,"In Monterrey, Mexico, a young street gang spends their days dancing to slowed-down cumbia and attending parties. After a mix-up with a local cartel, their leader is forced to migrate to the U.S. but quickly longs to return home.",,18 wins & 20 nominations,"9,056",TV-MA,movie
500,Alien Xmas,"Keythe Farley, Dee Bradley Baker, Kaliayh Rhambo",Stephen Chiodo,,42 minutes,United States,"['Chiodo Brothers Productions', 'Golem Creations', 'Sonar Entertainment']",6.2,"Animation, Short, Adventure","When extraterrestrials attempt to steal Earth's gravity, only the gift-giving spirit of Christmas -- and a small Alien named X -- can save the world.",,1 nomination,"1,454",E,movie
501,If Anything Happens I Love You,Muneer Lyati,"['Will McCormack', 'Michael Govier']",,12 minutes,United States,"['Gilbert Films', 'Oh Good Productions']",7.8,"Animation, Short, Drama","In the aftermath of tragedy, two grieving parents journey through an emotional void as they mourn the loss of a child.",,Won 1 Oscar. 21 wins & 8 nominations total,"19,476",PG,movie
502,Canvas,N/A,,,9 minutes,United States,"['Chainwheel Productions', 'Netflix Animation']",6.4,"Animation, Short, Drama","After suffering a loss, a painter finds his inspiration to create again.",,2 wins & 2 nominations,"3,081",G,movie
503,"Ariana Grande: Excuse Me, I Love You","Ariana Grande, Joesar Alva, Luis Bong Buno IV",Paul Dugdale,,97 minutes,United States,"['Den of Thieves', 'SB Films', 'Story Syndicate', 'Si-Fi Films']",6.4,"Documentary, Music",Ariana Grande takes the stage in London for her Sweetener World Tour and shares a behind-the-scenes look at her life in rehearsal and on the road.,,1 nomination,"2,840",TV-MA,movie
504,Death to 2020,"Samuel L. Jackson, Hugh Grant, Lisa Kudrow","['Al Campbell', 'Alice Mathias']",,70 minutes,United States,Broke and Bones,6.8,Comedy,Take a look back at the mad glory of the year 2020 in this comedic retrospective.,,1 nomination,"39,683",TV-MA,movie
505,What Happened to Mr. Cha?,"Cha In-pyo, Jae-Ryong Song",Dong-kyu Kim,,102 minutes,South Korea,,4.4,"Comedy, Drama","Cha In-pyo was once a popular actor, but he is not anymore. He struggles to regain his popularity.",,N/A,389,TV-14,movie
506,Pieces of a Woman,"Vanessa Kirby, Shia LaBeouf, Ellen Burstyn",Kornél Mundruczó,"['September 4, 2020 ', 'December 30, 2020 ', 'January 7, 2021 ']",128 minutes,"Canada, Hungary, United States","['Little Lamb', 'Bron Studios', 'Proton Cinema', 'Creative Wealth Media']",7.0,Drama,"When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.",,Nominated for 1 Oscar. 9 wins & 63 nominations total,"54,056",R,movie
507,Stuck Apart,"Engin Günaydin, Haluk Bilginer, Binnur Kaya",Taylan Biraderler,,,Turkey,Imaj International,6.0,"Comedy, Drama","The story of Aziz through an existential crisis longing for his youth: he is not happy with his work nor his private life, which is hijacked by his sister and her family, who have been living with him for some time now.",,1 nomination,"11,135",TV-MA,movie
508,The Heartbreak Club,"Bhisma Mulia, Denira Wiraguna, Fransisca Saraswati Puspa Dewi",Charles Gozali Bagus Bramanti,,101 minutes,Indonesia,"['Magma Entertainment', 'Ideosource Entertainment', 'Paragon Pictures', 'Rapi Films']",6.3,"Comedy, Drama, Romance","Coping with heartbreak, the shy owner of floundering cafe find solace in the Javanese love songs of Didi Kempot.",,7 wins & 14 nominations,216,TV-14,movie
509,Double Dad,"Bill Rogers, Maisa Silva, Eduardo Moscovis",Cris D'Amato,,103 minutes,Brazil,A Fabrica,5.6,"Comedy, Drama, Family","While her mom is away, a teen sneaks out of the hippie commune where she lives and embarks on a life-changing adventure to discover who her father is.",,N/A,"1,457",TV-G,movie
510,Outside the Wire,"Anthony Mackie, Damson Idris, Enzo Cilenti",Mikael Håfström,,115 minutes,"Hungary, United States","['Automatik Entertainment', '42 Films', 'Inspire Entertainment']",5.4,"Action, Adventure, Fantasy","In the near future, a drone pilot sent into a war zone finds himself paired with a top-secret android officer on a mission to stop a nuclear attack.",,1 nomination,"44,476",R,movie
511,Tribhanga,"Kajol, Tanvi Azmi, Mithila Palkar",Renuka Shahane,,95 minutes,India,"['Ajay Devgn FFilms', 'Banijay Asia', 'Alchemy Productions']",6.2,"Drama, Family",The lives of three women spanning the late 1980s to present day and underscores the value of family in everyday life.,,1 win & 5 nominations,"3,118",TV-MA,movie
512,The White Tiger,"Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas",Ramin Bahrani,"['6 January 2021 ', '13 January 2021 ', '22 January 2021 ']",125 minutes,"India, United States","['Lava Media', 'ARRAY', 'Noruz Films', 'Purple Pebble Pictures']",7.1,"Crime, Drama",An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.,,Nominated for 1 Oscar. 2 wins & 12 nominations total,"63,847",R,movie
513,June & Kopi,"Rajisha Vijayan, Sarjano Khalid, Joju George",,,90 minutes,India,Aurora Films,7.4,"Drama, Family, Musical","The life story of a girl named June from 16 years of her age until she turned 26, thereby giving an insight into those ten years of her life.",,3 nominations,"2,078",Not Rated,movie
514,Finding ʻOhana,"Kea Peahu, Alex Aiono, Lindsay Watson",Jude Weng,,123 minutes,United States,Ian Bryce Productions,6.1,"Action, Adventure, Comedy","A summer in rural O‘ahu takes an exciting turn for two Brooklyn-raised siblings when a journal pointing to long-lost treasure sets them on an epic adventure with new friends, and leads them to reconnect with their Hawaiian heritage.",,1 win & 2 nominations,"11,271",PG,movie
515,The Dig,"Carey Mulligan, Ralph Fiennes, Lily James",Simon Stone,"['14 January 2021 ', '15 January 2021 ', '29 January 2021 ']",112 minutes,United Kingdom,"['Magnolia Mae Films', 'Clerkenwell Films']",7.1,"Biography, Drama, History",An archaeologist embarks on the historically important excavation of Sutton Hoo in 1938.,,Nominated for 5 BAFTA 3 wins & 10 nominations total,"79,999",PG-13,movie
516,Below Zero,"Javier Gutiérrez, Karra Elejalde, Luis Callejo",Lluís Quílez,,106 minutes,Spain,"['Morena Films', 'Amorós Producciones', 'Film Factory']",6.2,"Action, Adventure, Crime","On a lonely road, a prison transport is brutally assaulted. Martin, the policeman who was driving, survives and fortifies his position while the con men search for a way to finish him.",,2 nominations,"20,924",TV-MA,movie
517,The Last Paradise,"Vairia Hatamou, Terei Autoroi, Marii Hatuguto",Rocco Ricciardulli,,107 minutes,"Italy, France","['Lebowski', 'Netflix', 'Silver Productions']",7.5,"Documentary, Romance","A 1955 Italian independent film, released in the USA in 1956, which is basically a travelogue telling four stories, each about a different island in the South Pacific. Native customs, tribal rites,ceremonial procedure, courtships,...",,1 win & 1 nomination,32,N/A,movie
518,Malcolm & Marie,"Colin Friels, John Hargreaves, Lindy Davies",Sam Levinson,,106 minutes,Australia,"['Little Lamb', 'FotoKem']",7.1,"Comedy, Crime, Sci-Fi","Malcolm is a chronically shy mechanical genius who has just been fired for building his own tram. He gets Frank, who has just been released from jail, to move in to help pay the bills. Malcolm, with Frank's help, turns to a life o...",,9 wins,"2,746",PG-13,movie
519,Space Sweepers,"Song Joong-ki, Kim Tae-ri, Jin Seon-kyu",Jo Sung-hee,,136 minutes,South Korea,"['Bidangil Pictures', 'Dexter Studios']",6.5,"Action, Adventure, Drama","Set in the year 2092 and follows the crew of a space junk collector ship called The Victory. When they discover a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business ...",,7 wins & 17 nominations,"27,730",TV-MA,movie
520,The Misadventures of Hedi and Cokeman,"Dana Abed, Ali D, Hedi Bouchenafa",Julien Hollande,,99 minutes,France,,4.4,"Action, Comedy, Crime","In Paris, two dysfunctional drug dealers use family ties to try and boost their business.",,N/A,699,TV-MA,movie
521,Red Dot,"Nanna Blondell, Anastasios Soulis, Thomas Hanzon",Alain Darborg,,85 minutes,Sweden,,5.5,"Drama, Horror, Thriller","When Nadja becomes pregnant, she and David make an attempt to rekindle their relationship by traveling to the north of Sweden for a hiking trip, but soon their romantic trip turns into a nightmare.",,1 nomination,"14,328",TV-MA,movie
522,Squared Love,"Adrianna Chlebicka, Mateusz Banasiuk, Agnieszka Zulewska",Filip Zylber,,133 minutes,Poland,Endemol Shine Polska,5.1,"Comedy, Romance",A celebrity journalist and renowned womanizer starts to rethink his life choices after he falls for a mysterious model who leads a double life.,,N/A,"3,717",TV-14,movie
523,To All the Boys: Always and Forever,"Lana Condor, Noah Centineo, Janel Parrish",Michael Fimognari,,115 minutes,United States,"['Awesomeness Films', 'Ace Entertainment']",6.3,"Comedy, Drama, Romance",Lara Jean's senior year of high school takes center stage when she returns from a family trip to Korea and considers her college plans--with and without Peter.,,2 wins & 2 nominations,"31,061",TV-14,movie
524,Geez & Ann,"Junior Roberts, Hanggini, Roy Sungkono",,,105 minutes,Indonesia,MVP Pictures,5.1,"Drama, Romance",They first met at an alumni event. The first meeting was very memorable for the dreamer Ann and the mysterious Geez.,,1 win & 2 nominations,322,TV-14,movie
525,Crazy About Her,"Álvaro Cervantes, Susana Abaitua, Luis Zahera",Dani de la Orden,,102 minutes,Spain,"['Playtime Movies', 'Sábado Películas', 'Loco Por Ti la Película']",6.6,"Comedy, Romance","After a magical night together, Adri voluntarily turns himself into the psychiatric institution where Carla lives.",,N/A,"6,304",TV-MA,movie
526,The Girl on the Train,"Emily Blunt, Haley Bennett, Rebecca Ferguson",Ribhu Dasgupta,,120 minutes,"United States, India",Reliance Entertainment,6.5,"Crime, Drama, Mystery",A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.,,Nominated for 1 BAFTA Award4 wins & 13 nominations total,"195,294",R,movie
527,Moxie,"Hadley Robinson, Lauren Tsai, Alycia Pascual-Pena",Amy Poehler,,111 minutes,United States,Paper Kite Productions,6.7,"Comedy, Drama, Music","Inspired by her mom's rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school.",,N/A,"27,748",PG-13,movie
528,Sentinelle,"Olga Kurylenko, Marilyn Lima, Michel Nabokoff",,,80 minutes,France,"['Labyrinthe Cinéma', 'Umedia']",4.8,"Action, Crime, Drama","Transferred home after a traumatizing combat mission, a trained French soldier uses her lethal skills to hunt down the man who hurt her sister.",,N/A,"8,472",TV-MA,movie
529,Yes Day,"Jennifer Garner, Edgar Ramírez, Jenna Ortega",Miguel Arteta,,86 minutes,United States,"['Grey Matter Productions', 'Entertainment 360']",5.7,"Comedy, Family",A mom and dad who usually say no decide to say yes to their kids' wildest requests with a few ground rules on a whirlwind day of fun and adventure.,,2 nominations,"28,324",PG,movie
530,Paper Lives,"Çagatay Ulusoy, Emir Ali Dogrul, Ersin Arici",Can Ulkay,,,Turkey,OGM Pictures,6.6,Drama,"Mehmet is a cherished fellow who runs the solid waste warehouse in the neighborhood, he helps everyone in need, especially homeless children and teenagers since he was one too.",,2 nominations,"13,197",TV-MA,movie
531,Get the Goat,,Vitor Brandt,,97 minutes,,,,,,,,,,
532,Caught by a Wave,"Elvira Camarrone, Roberto Christian, Donatella Finocchiaro",Massimiliano Camaiti,,99 minutes,Italy,Cinemaundici,5.8,"Drama, Romance, Sport",A summer adventure under the Sicilian sun soon becomes a painful love story,,N/A,"1,456",TV-14,movie
533,A Week Away,"Kevin Quinn, Bailee Madison, Jahbril Cook",Roman White,,97 minutes,United States,"['Monarch Media', 'Rove Productions']",5.7,"Drama, Family, Musical","With nowhere left to go, Will Hawkins finds himself at camp for the first time. His instinct is to run, but he finds a friend, a father figure, and even a girl who awakens his heart. Most of all, he finally finds a home.",,1 nomination,"5,200",TV-PG,movie
534,Bad Trip,"Eric André, Michaela Conlin, Lil Rel Howery",Kitao Sakurai,,84 minutes,United States,"['Orion Pictures', 'Gorilla Flicks', 'The District']",6.5,Comedy,This mix of a scripted buddy comedy road movie and a real hidden camera prank show follows the outrageous misadventures of two buds stuck in a rut who embark on a cross-country road trip to NYC. The storyline sets up shocking real...,,1 nomination,"26,730",Unrated,movie
535,Pagglait,"Sanya Malhotra, Sayani Gupta, Sheeba Chaddha",Umesh Bist,,115 minutes,India,Balaji Motion Pictures Sikhya Entertainment,6.9,"Comedy, Drama","Widowed soon after marriage, a young woman grapples with an inability to grieve, quirky relatives, and a startling discovery about her late husband.",,10 wins & 25 nominations,"9,948",TV-14,movie
536,Tersanjung the Movie,"Clara Bernadeth, Giorgino Abraham, Kevin Ardilova",,,114 minutes,Indonesia,"['MVP Pictures', 'Dapur Film']",6.0,"Drama, Romance","Yura (Clara Bernadeth) faces the complicated love triangle between Oka (Kevin Ardilio) and Christian (Giorgino Abraham). The story of dreams, romance, and emotions raging together.",,1 win & 1 nomination,233,TV-14,movie
537,Concrete Cowboy,"Idris Elba, Caleb McLaughlin, Lorraine Toussaint",Ricky Staub,"['September 13, 2020 ', 'April 2, 2021 ']",111 minutes,"United States, United Kingdom","['Tucker Tooley Entertainment', 'Green Door Pictures', 'Lee Daniels Entertainment', 'Neighborhood Film Co.']",6.3,"Drama, Western","Sent to live with his estranged father for the summer, a rebellious teen finds kinship in a tight-knit Philadelphia community of Black cowboys.",,1 win & 3 nominations,"9,482",R,movie
538,Just Say Yes,"Yolanthe Cabau, Noortje Herlaar, Jim Bakkum","['Appie Boudellah', 'Aram van de Rest']",,97 minutes,Netherlands,AM Pictures,4.6,"Comedy, Romance",Incurable romantic Lotte's life is upended when her plans for a picture-perfect wedding unravel--just as her self-absorbed sister gets engaged.,,N/A,"2,103",TV-MA,movie
539,Madame Claude,"Karole Rocher, Garance Marillier, Roschdy Zem",Sylvie Verheyde,,,France,,5.4,"Biography, Crime, Drama","Paris, in the late 1960s. Madame Claude is at the head of a flourishing business dedicated to prostitution that gives her power over both the French political and criminal worlds. But the end of her empire is closer than she thinks.",,N/A,"3,852",TV-MA,movie
540,Have You Ever Seen Fireflies?,"Ecem Erkek, Devrim Yakut, Engin Alkan",Andaç Haznedaroğlu,,113 minutes,Turkey,BKM,6.2,"Comedy, Drama","Rebellious, irreverent wunderkind Gülseren navigates loneliness, love and loss against the current of political turmoil and social change.",,3 nominations,"5,371",TV-14,movie
541,Night in Paradise,"Tae-goo Eom, Jeon Yeo-been, Seung-Won Cha",Park Hoon-jung,"['September 3, 2020 ', 'April 9, 2021 ']",131 minutes,South Korea,"['Goldmoon', 'Peppermint & Company']",6.8,"Action, Crime, Drama","Hiding out in Jeju Island following a brutal tragedy, a wronged mobster with a target on his back connects with a woman who has her own demons.",,1 win & 9 nominations,"8,235",TV-MA,movie
542,Thunder Force,"Melissa McCarthy, Octavia Spencer, Jason Bateman",Ben Falcone,,106 minutes,United States,"['On the Day Productions', 'Marc Platt Productions']",4.5,"Action, Adventure, Comedy","In a world where supervillains are commonplace, two estranged childhood best friends reunite after one devises a treatment that gives them powers to protect their city.",,1 nomination,"44,494",PG-13,movie
543,Prime Time,"Bartosz Bielenia, Magdalena Poplawska, Andrzej Klak",Jakub Piątek,,93 minutes,Poland,"['Watchout Studio', 'Polish Film Institute', 'TVN', 'Krakow Festival Office']",5.2,"Drama, Thriller","On New Year's Eve 1999, an armed man enters a TV studio during a broadcast, takes the host hostage and makes one demand: to give a message live on air.",,2 wins & 2 nominations,"1,934",TV-MA,movie
544,Ride or Die,"Kiko Mizuhara, Honami Satô, Shinya Niiro",Ryuichi Hiroki,,142 minutes,Japan,,5.6,"Crime, Drama, Romance","Rei helps the woman she's been in love with for years escape her abusive husband. While on the run, their feelings for each other catch fire.",,1 nomination,"2,352",TV-MA,movie
545,Ajeeb Daastaans,"Fatima Sana Shaikh, Jaideep Ahlawat, Armaan Ralhan","['Shashank Khaitan', 'Raj Mehta', 'Neeraj Ghaywan', 'Kayoze Irani']",,142 minutes,India,Dharmatic Entertainment,6.7,"Drama, Romance",Four shorts explore the surprising ways in which unexpected catalysts inflame the uncomfortable emotions simmering under fractured relationships.,,9 wins & 9 nominations,"6,192",TV-MA,movie
546,Arlo the Alligator Boy,"Michael J. Woodard, Ryan Crego, Dee Bradley Baker",Ryan Crego,,92 minutes,United States,"['Titmouse, Inc.', 'Netflix Animation']",6.4,"Animation, Adventure, Comedy","A young humanoid alligator travels to the big city in hopes of reuniting with his estranged father, meeting a colorful cast of characters along the way.",,6 nominations,"1,217",TV-Y7,movie
547,Get the Grift,"Marcus Majella, Samantha Schmütz, Zeca Carvalho",Pedro Antônio Paes,,94 minutes,Brazil,,5.3,"Comedy, Crime","After a botched scam, Clóvis bumps into Lohane, his estranged foster sister. In a bind, they soon realize the only way out is to band together.",,N/A,835,TV-14,movie
548,Things Heard & Seen,"Amanda Seyfried, James Norton, Natalia Dyer",Shari Springer Berman Robert Pulcini,,121 minutes,United States,Likely Story,5.3,"Drama, Horror, Mystery","An artist relocates to the Hudson Valley and begins to suspect that her marriage has a sinister darkness, one that rivals her new home's history.",,1 win,"34,685",TV-MA,movie
549,The Disciple,"Aditya Modak, Arun Dravid, Sumitra Bhave",Chaitanya Tamhane,"['4 September 2020 ', '30 April 2021 ']",127 minutes,India,Zoo Entertainment,7.1,"Drama, Music","Self-doubt, sacrifice and struggle converge into an existential crisis for a devoted classical vocalist as the mastery he strives for remains elusive.",,14 wins & 12 nominations,"2,933",TV-MA,movie
550,Meel Patthar,,,,98 minutes,,Jabberwockee Talkies,,,,,,,,
551,Monster,"Charlize Theron, Christina Ricci, Bruce Dern",Anthony Mandler,"['January 22, 2018 ', 'May 7, 2021 ']",98 minutes,"United States, Germany","['Bron Studios', 'Charlevoix Entertainment', 'Get Lifted Film Company', 'Tonik Productions', 'Red Crown Productions', 'Creative Wealth Media']",7.3,"Biography, Crime, Drama","Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer.",,Won 1 Oscar. 31 wins & 26 nominations total,"158,002",R,movie
552,Oxygen,"Mélanie Laurent, Mathieu Amalric, Malik Zidi",Alexandre Aja,,101 minutes,"France, United States","['Gateway Films', 'Wild Bunch', 'Echo Lake Entertainment']",6.5,"Drama, Fantasy, Sci-Fi","A woman wakes in a cryogenic chamber with no recollection of how she got there. As she's running out of oxygen, she must rebuild her memory to find a way out of her nightmare.",,1 nomination,"42,491",TV-14,movie
553,Ferry,"Frank Lammers, Elise Schaap, Huub Stapel",,,106 minutes,"Belgium, Netherlands",deMENSEN,7.0,"Action, Crime, Drama","Ruthless Ferry Bouman is sent to his native region of Brabant by his boss Brink to avenge an attack on their gang. When he meets lovely Danielle and old family feuds resurface, Brabant starts to pierce his steel armour.",,1 win & 3 nominations,"11,958",TV-MA,movie
554,I Am All Girls,"Erica Wessels, Hlubi Mboya, Leshego Molokwane",Donovan Marsh,,107 minutes,South Africa,Nthibah Pictures,6.0,"Crime, Drama, Mystery",A special crimes investigator forms an unlikely bond with a serial killer to bring down a global child sex trafficking syndicate.,,3 wins & 10 nominations,"6,954",TV-MA,movie
555,The Woman in the Window,"Amy Adams, Gary Oldman, Anthony Mackie",Joe Wright,,100 minutes,United States,"['20th Century Studios', 'Fox 2000 Pictures']",5.7,"Crime, Drama, Mystery","An agoraphobic woman living alone in New York begins spying on her new neighbors, only to witness a disturbing act of violence.",,8 nominations,"80,207",R,movie
556,Sardar Ka Grandson,"John Abraham, Aditi Rao Hydari, Rakul Preet Singh",Kaashvie Nair,,140 minutes,India,T-Series Emmay Entertainment JA Entertainment,4.2,"Comedy, Drama, Romance",A devoted grandson embarks on a complicated and comic journey to fulfill his ailing grandmother's last wish.,,1 win & 4 nominations,"4,728",TV-14,movie
557,Army of the Dead,"Dave Bautista, Ella Purnell, Ana de la Reguera",Zack Snyder,,148 minutes,United States,The Stone Quarry,5.8,"Action, Crime, Drama","Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.",,1 win & 4 nominations,"181,692",R,movie
558,Baggio: The Divine Ponytail,"Andrea Arcangeli, Valentina Bellè, Thomas Trabacchi",Letizia Lamartire,,92 minutes,Italy,Fabula Pictures,6.1,"Biography, Drama, Sport","Biographical film about Italian footballer Roberto Baggio, a man who inspired entire generations to play football. A unique footballer, capable of thrilling fans all over the world.",,N/A,"4,958",TV-MA,movie
559,Ghost Lab,"Thanapob Leeratanakachorn, Paris Intarakomalyasut, Nuttanicha Dungwattanawanich",,,117 minutes,Thailand,GDH 559 Jorkwang Film,5.2,"Drama, Horror, Thriller","After witnessing a haunting in their hospital, two doctors become dangerously obsessed with obtaining scientific proof that ghosts exist.",,N/A,"1,623",TV-MA,movie
560,Blue Miracle,"Dennis Quaid, Jimmy Gonzales, Miguel Angel Garcia",Julio Quintana,,95 minutes,United States,"['Mucho Mas Media', 'Reserve Entertainment', 'Redwood Ranch Productions', 'Third Coast Content', 'Provident Films', 'Endeavor Content']",6.6,"Adventure, Biography, Drama","To save their cash-strapped orphanage, a guardian and his kids partner with a washed-up boat captain for a chance to win a lucrative fishing competition.",,1 win & 2 nominations,"7,643",TV-PG,movie
561,Carnaval,"Alexandre Moreira, Antônio Rafaski, Bruna Inocencio",Leandro Neri,,94 minutes,Brazil,,4.1,Comedy,"After a breakup, an influencer takes her friends on a free trip to Bahia's vibrant Carnival, where she learns life's not just about social media likes.",,N/A,"1,008",TV-MA,movie
562,Dancing Queens,"Rakel Wärmländer, Emil Almén, Molly Nutley",Helena Bergström,,110 minutes,Sweden,Sweetwater Production,5.7,"Comedy, Drama","The story of Dylan Pettersson, a 23 year old girl from a small island in the Swedish archipelago with big dancing aspirations.",,N/A,"2,063",TV-MA,movie
563,Sweet & Sour,"Reese Witherspoon, Patrick Dempsey, Josh Lucas",Lee Gye-byeok,,101 minutes,United States,KT Hitel 26 Company Gyebyeok Mulsan,6.2,"Comedy, Romance",A young woman who has reinvented herself as a New York City socialite must return home to Alabama to obtain a divorce from her husband after seven years of separation.,,3 wins & 6 nominations,"120,306",PG-13,movie
564,Trippin' with the Kandasamys,"Mariam Bassa, Rushil Juglall, Vashir Kemraj",Jayan Moodley,,93 minutes,South Africa,African Lotus Production Studios,5.1,"Comedy, Romance","To rekindle their marriages, best friends-turned-in-laws Shanthi and Jennifer plan a couples' getaway. But it comes with all kinds of surprises.",,N/A,407,TV-14,movie
565,Xtreme,"Teo García, Óscar Jaenada, Óscar Casas",Daniel Benmayor,,111 minutes,Spain,Showrunner Films,5.8,"Action, Crime, Drama","Two years after the murder of his son and father, a retired hitman sets in motion a carefully crafted revenge plan against the killer: his own brother.",,N/A,"4,902",TV-MA,movie
566,Awake,"Hayden Christensen, Jessica Alba, Terrence Howard",Mark Raso,,96 minutes,United States,"['Entertainment One', 'Paul Schiff Productions']",6.5,"Crime, Drama, Mystery",A wealthy young man undergoing heart transplant surgery discovers that the surgical team intend to murder him.,,1 win & 3 nominations,"78,951",R,movie
567,Tragic Jungle,"Indira Rubie Andrewin, Gilberto Barraza, Mariano Tun Xool",Yulene Olaizola,"['September 2020 ', '9 June 2021']",96 minutes,"Mexico, France, Colombia","['Malacosa Cine', 'Varios Lobos', 'Manny Films']",5.6,"Adventure, Drama, Mystery","To escape an arranged marriage, a woman flees into the depths of the Mayan jungle, where untamed nature merges the human and the supernatural.",,6 wins & 17 nominations,"1,070",TV-MA,movie
568,Skater Girl,"Waheeda Rehman, Amy Maghera, Sahidur Rahaman",Manjari Makijany,,107 minutes,"United States, India","['Skatepark Films', 'Mac Productions']",6.6,"Drama, Family, Sport","When a teen in rural India discovers a life-changing passion for skateboarding, she faces a rough road as she follows her dream to compete.",,2 wins & 2 nominations,"4,781",PG,movie
569,Ali & Ratu Ratu Queens,"Will Smith, Jamie Foxx, Jon Voight",Lucky Kuswandi,,100 minutes,United States,Palari Films,6.7,"Biography, Drama, Sport","A biography of sports legend Muhammad Ali, focusing on his triumphs and controversies between 1964 and 1974.",,Nominated for 2 Oscars. 10 wins & 27 nominations total,"103,782",R,movie
570,Jagame Thandhiram,"Dhanush, James Cosmo, Aishwarya Lekshmi",Karthik Subbaraj,,158 minutes,"United Kingdom, India",YNOT Studios Reliance Entertainment,5.8,"Action, Crime, Drama","A nomadic gangster finds himself caught between good and evil in a fight for a place to call home. Starring Dhanush, Aishwarya Lekshmi and James Cosmo.",,N/A,"12,247",TV-MA,movie
571,Good on Paper,"Iliza Shlesinger, Britney Young, Christopher Nicholas Smith",Kimmy Gatewood,,92 minutes,United States,"['Burn Later Productions', 'Meridian Content', 'Universal Pictures']",5.6,"Comedy, Romance","After years of putting her career first, a stand-up comic meets a guy who seems perfect: smart, nice, successful and possibly too good to be true.",,N/A,"13,475",Unrated,movie
572,America: The Motion Picture,"Channing Tatum, Jason Mantzoukas, Olivia Munn",Matt Thompson,,98 minutes,"Brazil, Mexico, United States, Czech Republic","['Netflix Animation', 'Lord Miller Productions', 'Floyd County Productions', 'Free Association']",5.6,"Animation, Action, Adventure",A chainsaw-wielding George Washington teams with beer-loving bro Sam Adams to take down the Brits in a tongue-in-cheek riff on the American Revolution.,,N/A,"7,107",TV-MA,movie
573,Fear Street Part One: 1994,"Kiana Madeira, Olivia Scott Welch, Benjamin Flores Jr.",Leigh Janiak,"['June 28, 2021 ', 'July 2, 2021 ']",107 minutes,United States,20th Century Studios Chernin Entertainment,6.2,"Drama, Horror, Mystery",A circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. Welcome to Shadyside.,,3 wins & 8 nominations,"89,778",R,movie
574,The 8th Night,"Lee Sung-min, Park Hae-joon, Kim Yoo-jung",Kim Tae-hyoung,,115 minutes,South Korea,Gom Pictures Gogo Studio,5.3,"Horror, Thriller","With prayer beads in one hand and an ax in the other, a monk hunts down a millennia-old spirit that's possessing humans and unleashing hell on Earth.",,N/A,"4,069",TV-MA,movie
575,Haseen Dillruba,"Taapsee Pannu, Vikrant Massey, Harshvardhan Rane",Vinil Mathew,,136 minutes,India,Colour Yellow Productions T-Series Eros International,6.9,"Crime, Drama, Mystery","Under investigation as a suspect in her husband's murder, a wife reveals details of their thorny marriage that seem to only further blur the truth.",,7 wins & 16 nominations,"28,701",TV-MA,movie
