,Title,Description,Genre,Rated,Type,Running Time,Release Date,Director,Cast,Country,Production Company,Wins_Nominations,IMDb Votes,IMDb Score
456,We Can Be Heroes,"When alien invaders capture the Earth's superheroes, their kids must learn to work together to save their parents and the planet.","Action, Comedy, Drama",Parental Guidance,movie,100,2020-01-01,Robert Rodriguez,"YaYa Gosselin, Pedro Pascal, Priyanka Chopra Jonas",United States,Double R Productions,1 nomination,"16,485",4.7
457,Miss Americana,A look at iconic pop artist Taylor Swift during a transformational time in her life as she embraces her role as a singer/songwriter and harnesses the full power of her voice.,"Documentary, Biography, Drama",Mature Audiences,movie,85,2020-01-01,Lana Wilson,"Taylor Swift, Andrea Swift, Scott Swift",United States,Tremolo Productions,2 wins & 5 nominations,"22,590",7.4
458,A Life of Speed: The Juan Manuel Fangio Story,The life of five-time Formula One world champion Juan Manuel Fangio. The first official documentary.,"Documentary, Biography, Sport",Not Rated,movie,92,2020-01-01,['Francisco Macri'],"Jackie Stewart, Fernando Alonso, Mika Häkkinen",Argentina,"['Cinema 7 Films', 'Fox Sports', 'Netflix']",,"2,181",7.0
459,Crip Camp,"Down the road from Woodstock, a revolution blossomed at a ramshackle summer camp for teenagers with disabilities, transforming their lives and igniting a landmark movement.","Documentary, History",Mature Audiences,movie,108,2020-01-01,"['Nicole Newnham', 'James Lebrecht']","James Lebrecht, Lionel Je'Woodyard, Joseph O'Conor",United States,"['Higher Ground Productions', 'Rusted Spoke', 'Little Punk', 'Just Films', 'Ford Foundation']",Nominated for 1 Oscar. 11 wins & 35 nominations total,"8,013",7.7
460,LA Originals,"Photographer Estevan Oriol and artist Mister Cartoon turned their Chicano roots into gritty art, impacting street culture, hip hop and beyond.",Documentary,Not Rated,movie,92,2020-01-01,Estevan Oriol,"Estevan Oriol, Mister Cartoon, Snoop Dogg","United States, Argentina",Underground Contenidos,,"1,957",7.2
461,Circus of Books,"In 1976, Karen and Barry Mason had fallen on hard times and were looking for a way to support their young family when they answered an ad in the Los Angeles Times. Larry Flynt was seeking distributors for Hustler Magazine. What wa...","Documentary, Biography, History",Not Rated,movie,92,2019-01-01,Rachel Mason,"Karen Mason, Barry Mason, Micah Mason",United States,,Nominated for 1 Primetime Emmy. 2 wins & 4 nominations total,"4,895",7.1
462,A Secret Love,"Falling in love in 1947, two women -- Pat Henschel and pro baseball player Terry Donahue -- begin a 65-year journey of love and overcoming prejudice.","Documentary, Biography, Drama",Mature Audiences,movie,83,2020-01-01,Chris Bolan,"Terry Donahue, Pat Henschel, Diana Bolan",United States,"['Blumhouse Productions', 'Ryan Murphy Productions', 'Beech Hill Films']",1 win & 3 nominations,"4,784",7.8
463,Murder to Mercy: The Cyntoia Brown Story,"After 16-year-old Cyntoia Brown is sentenced to life in prison, questions about her past, physiology and the law itself call her guilt into question.",Documentary,Mature Audiences,movie,96,2020-01-01,Daniel H. Birman,,United States,Daniel H. Birman Productions,,"2,984",6.4
464,Becoming,"Join former first lady Michelle Obama in an intimate documentary looking at her life, hopes and connection with others during her 2019 book tour for 'Becoming.'","Documentary, Biography",Parental Guidance,movie,89,2020-01-01,Nadia Hallgren,"Elizabeth Alexander, Adrian K. Collins, Valerie Jarrett",United States,"['Higher Ground Productions', 'Big Mouth Productions']",Nominated for 4 Primetime Emmys. 1 win & 6 nominations total,"6,600",7.0
466,Spelling the Dream,Chronicle of the ups and downs of four Indian-American students as they compete to realize their dream of winning the iconic tournament.,Documentary,Parental Guidance,movie,82,2020-01-01,Sam Rega,"Srinivas Ayyagari, Jacques Bailly, Valerie Browning",United States,,1 win & 1 nomination,783,6.9
467,One Take,Members of Thai girl group BNK48 share the ups and downs of preparing for the 6th Single Senbatsu General Election.,"Documentary, Music",Not Rated,movie,85,2020-01-01,Manatsanun Panlertwongskul,"Jiradapa Intajak, Praewa Suthamphong",Thailand,"['iAM Films', 'Independent Artist Management Co., Ltd.']",,52,5.7
468,Disclosure,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.","Drama, Thriller",Mature Audiences,movie,100,2020-01-01,Sam Feder,"Michael Douglas, Demi Moore, Donald Sutherland",United States,"['Field of Vision', 'Bow and Arrow Entertainment', 'Level Forward']",2 wins & 2 nominations,"53,212",6.1
469,Athlete A,Follow the Indianapolis Star reporters that broke the story about USA Gymnastics doctor Larry Nassar's abuse and hear from gymnasts like Maggie Nichols.,"Documentary, Crime, Sport",Parental Guidance,movie,104,2020-01-01,"['Bonni Cohen', 'Jon Shenk']","Maggie Nichols, Gina Nichols, John Nichols",United States,['Actual Films'],4 wins & 10 nominations,"12,028",7.6
470,Mucho Mucho Amor: The Legend of Walter Mercado,"Every day for decades, Walter Mercado — the iconic, gender non-conforming astrologer — mesmerized 120 million Latino viewers with his extravagance and positivity.",Documentary,Mature Audiences,movie,96,2020-01-01,"['Cristina Costantini', 'Kareem Tabsch']","Walter Mercado, Willy Acosta, Lin-Manuel Miranda",United States,"['Muck Media', 'Key Rat, Inc.', 'Topic Studios', 'XTR']",4 wins & 9 nominations,"3,438",7.3
471,The Claudia Kishi Club,Fans of the Babysitters Club books discuss the importance of the character of Claudia.,"Documentary, Short",Not Rated,movie,17,2020-01-01,Sue Ding,"Lucia de la Garza, Mila de la Garza, Bela Salazar",United States,,1 nomination,149,6.9
472,We Are One,Activists around the world fight injustice and drive social change in this documentary that follows their participation in the music video Solidarité.,Documentary,Mature Audiences,movie,86,2020-01-01,Stéphane de Freitas,"Afaq, Panmela Castro, Stéphane de Freitas",France,,,94,4.6
473,Father Soldier Son,"When Sgt. First Class Brian Eisch is critically wounded in Afghanistan, it sets him and his sons on a journey of love, loss, redemption and legacy.","Documentary, War",Mature Audiences,movie,99,2020-01-01,"['Catrin Einhorn', 'Leslye Davis']","Brian Eisch, Isaac Eisch, Joey Eisch",United States,Netflix,3 wins & 2 nominations,"1,023",7.3
474,The Speed Cubers,Discover the special bond -- and uncommon competitive spirit -- shared by the world's Rubik's Cube-solving record breakers in this documentary.,"Documentary, Short, Sport",Parental Guidance,movie,40,2020-01-01,Sue Kim,"Max Park, Schwan Park, Philipp Weyer",United States,"['Saltwater Films', 'Romano Films', 'Wieden & Kennedy']",2 nominations,"4,081",7.4
475,Anelka: Misunderstood,"Bad boy of the French football, arrogant, precocious, misunderstood, scorer, unclassifiable, genius, unmanageable. Despite a having a career of almost 20 years at the highest level, Nicolas Anelka is still hard to define.","Documentary, Sport",Mature Audiences,movie,94,2020-01-01,Franck Nataf,"Roman Abramovich, Fabrice Abriel, Samir Amireche",France,,,"3,419",6.4
476,John Was Trying to Contact Aliens,John Shepherd spent 30 years trying to contact extraterrestrials by broadcasting music millions of miles into space. After giving up the search he makes a different connection here on Earth.,"Documentary, Short, Biography",Not Rated,movie,16,2020-01-01,Matthew Killip,"John Shepherd, John Litrenta",United States,Netflix,2 wins & 2 nominations,"1,656",6.4
477,Rising Phoenix,"The history and current standing of the Paralympic Games, which has grown to become the world's third largest sporting event.","Documentary, Sport",Parental Guidance,movie,105,2020-01-01,"['Ian Bonhôte', 'Peter Ettedgui']","Jean-Baptiste Alaize, Ryley Batt, Ellie Cole",United Kingdom,"HTYT Films, Passion Pictures, Misfits Entertainment, Ventureland",2 wins & 8 nominations,"1,800",8.1
478,My Octopus Teacher,"A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world.",Documentary,Parental Guidance,movie,85,2020-01-01,"['Pippa Ehrlich', 'James Reed']","Craig Foster, Tom Foster",South Africa,Off The Fence The Sea Change Project,Won 1 Oscar. 11 wins & 15 nominations total,"60,209",8.1
479,The Social Dilemma,Explores the dangerous human impact of social networking; tech experts sound the alarm on their own creations.,"Documentary, Drama",Parental Guidance,movie,94,2020-01-01,Jeff Orlowski,"Tristan Harris, Jeff Seibert, Bailey Richardson",United States,"['Exposure Labs', 'Argent Pictures', 'The Space Program']",Won 2 Primetime Emmys. 7 wins & 22 nominations total,"87,440",7.6
480,Hope Frozen,"After her untimely death, a scientist from Bangkok cryo-preserves his daughter's brain. Scandal swirls around the family as they struggle to grieve a child that, in their view, is suspended between death and reawakening.","Documentary, Drama",Parental Guidance,movie,75,2020-01-01,Pailin Wedel,"Max More, Matrix Naovaratpong, Nareerat Naovaratpong","Thailand, United States",2050 Productions,2 wins & 5 nominations,614,6.6
481,Gims: On the Record,Go backstage with beloved rap superstar Gims in the year leading up to his major 2019 Stade de France performance in this up-close documentary.,"Documentary, Music",Mature Audiences,movie,96,2020-01-01,,"Chaz Hodges, Lorene Chesley, Maître Gims",France,Netflix,,224,6.9
482,A Love Song for Latasha,The injustice surrounding the shooting death of 15-year-old Latasha Harlins at a South Central Los Angeles store became a flashpoint for the city’s 1992 civil uprising.,"Documentary, Short, Biography",Parental Guidance,movie,19,2019-01-01,Sophia Nahli Allison,"Tybie O'Bard, Shinese Harlins, Zoe Flint",United States,,Nominated for 1 Oscar. 6 wins & 6 nominations total,"2,555",6.8
483,American Murder: The Family Next Door,"In 2018, 34-year-old Shanann Watts and her two young daughters disappear in Colorado. With the heartbreaking details emerging, the family's story made headlines around the world.","Documentary, Crime",Mature Audiences,movie,82,2020-01-01,Jenny Popplewell,"Nickole Atkinson, Jim Benemann, Luke Epple",United Kingdom,Knickerbockerglory,Nominated for 1 BAFTA Award2 wins & 4 nominations total,"31,191",7.2
484,Dick Johnson Is Dead,A daughter helps her father prepare for the end of his life.,"Documentary, Biography, Drama",Parental Guidance,movie,89,2020-01-01,Kirsten Johnson,"Michael Hilow, Ana Hoffman, Dick Johnson",United States,Big Mouth Productions,Won 1 Primetime Emmy. 19 wins & 42 nominations total,"7,068",7.4
485,David Attenborough: A Life on Our Planet,One man has seen more of the natural world than any other. This unique feature documentary is his witness statement.,"Documentary, Biography",Parental Guidance,movie,83,2020-01-01,,"David Attenborough, Max Hughes",United Kingdom,"['Altitude Film Entertainment', 'Netflix', 'Silverback Films']",Won 3 Primetime Emmys. 8 wins & 10 nominations total,"33,725",8.9
486,Blackpink: Light Up the Sky,Chart the meteoric rise of the South Korean girl group BLACKPINK in director Caroline Suh's documentary.,"Documentary, Music",Mature Audiences,movie,79,2020-01-01,Caroline Suh,"Reila Post, Blackpink, Jennie Kim","United States, South Korea",RadicalMedia,,"7,136",7.3
487,The Three Deaths of Marisela Escobedo,Follows a mother's tireless crusade to jail her daughter's murderer after Mexico's justice system failed to do so.,"Documentary, Crime",Mature Audiences,movie,109,2020-01-01,Carlos Perez Osorio,"Juan Manuel Fraire Escobedo, Alejandro Fraire, Blanca Escobedo",Mexico,"['Scopio', 'Netflix Studios']",1 win & 6 nominations,"1,886",8.2
488,Rooting for Roona,A little girl named Roona Begum is born in the North East of India with an unprecedented head size caused by a birth defect. This is the story of one family and how they raise a child against insurmountable odds.,"Documentary, Short, Drama",Not Rated,movie,41,2020-01-01,,,India,Curley Street,1 win & 2 nominations,476,7.0
489,Secrets of the Saqqara Tomb,"After unearthing a tomb that had been untouched for 4,400 years, Egyptian archaeologists attempt to decipher the history of the astonishing find.","Documentary, History",Parental Guidance,movie,113,2020-01-01,James Tovell,"Ahmed Zikrey Abdellhak, Ghareeb Ali Mohammed Abushousha, Nabil Eldaleel",United Kingdom,"['At Land Productions', 'Lion Television']",,"7,042",7.2
490,Shawn Mendes: In Wonder,"A portrait of singer/songwriter Shawn Mendes' life, chronicling the past few years of his rise and journey.","Documentary, Music",Mature Audiences,movie,83,2020-01-01,Grant Singer,"Shawn Mendes, Camila Cabello, Evan A. Dunn",United States,Netflix,1 nomination,"2,178",6.5
491,Dance Dreams: Hot Chocolate Nutcracker,"Behind-the-scenes at the Debbie Allen Dance Academy and their award-winning version of The Nutcracker, which blends a variety of dance traditions.","Documentary, Family",Parental Guidance,movie,80,2020-01-01,Oliver Bokelberg,"Debbie Allen, Tichina Arnold, Vivian Nixon",United States,Shondaland,,378,7.1
492,Giving Voice,This film follows the annual August Wilson Monologue competition and the thousands of high schoolers who enter the competition for the opportunity to perform on Broadway.,Documentary,Parental Guidance,movie,87,2020-01-01,"['James D. Stern', 'Fernando Villena']","Mary Alice, Annette Bening, Glenn Close",United States,"['Endgame Entertainment', 'Impact Partners', 'Get Lifted', 'Pilgrim Media Group', 'JuVee Productions']",1 win,323,7.0
493,What Did Jack do?,"In a locked down train station, a homicide detective conducts an interview with a tormented monkey.","Short, Comedy, Crime",Mature Audiences,movie,17,2017-01-01,,"Jack Cruz, David Lynch, Toototabon",United States,,,"14,091",6.4
494,Road to Roma,Director Alfonso Cuaron reflects on the creative decisions behind ROMA.,Documentary,Not Rated,movie,72,2020-01-01,"['Andres Clariond', 'Gabriel Nuncio']","Yalitza Aparicio, Odín Ayala, Eugenio Caballero",Mexico,Netflix Studios,,719,7.7
495,Sitara: Let Girls Dream,"The short tells the story of Pari, a 14-year-old girl who dreams of becoming a pilot while growing up in a society that doesn't allow her to dream.","Animation, Short, Drama",Not Rated,movie,15,2020-01-01,Sharmeen Obaid-Chinoy,,"Pakistan, United States","['Netflix', 'Waadi Animations']",3 wins,793,7.1
496,Ben Platt Live from Radio City Music Hall,"Backed by a full band and a ready wit, actor Ben Platt opens up a very personal songbook onstage - numbers from his debut LP, ""Sing to Me Instead.""",Music,Parental Guidance,movie,85,2020-01-01,"['Alex Timbers', 'Sam Wrench']","Ben Platt, Crystal Monee Hall, Kojo Littles",United States,"['Fulwell 73', 'Noah Gellman Productions, LLC.']",,533,8.3
498,Sarah Cooper: Everything's Fine,"A variety special full of issues of politics, race, gender and class. Sarah will also be joined by special guests.",Comedy,Mature Audiences,movie,49,2020-01-01,Natasha Lyonne,"Marisa Tomei, Winona Ryder, Aubrey Plaza",United States,,1 nomination,"1,821",5.5
500,Alien Xmas,"When extraterrestrials attempt to steal Earth's gravity, only the gift-giving spirit of Christmas -- and a small Alien named X -- can save the world.","Animation, Short, Adventure",General Audiences,movie,42,2020-01-01,Stephen Chiodo,"Keythe Farley, Dee Bradley Baker, Kaliayh Rhambo",United States,"['Chiodo Brothers Productions', 'Golem Creations', 'Sonar Entertainment']",1 nomination,"1,454",6.2
501,If Anything Happens I Love You,"In the aftermath of tragedy, two grieving parents journey through an emotional void as they mourn the loss of a child.","Animation, Short, Drama",Parental Guidance,movie,12,2020-01-01,"['Will McCormack', 'Michael Govier']",Muneer Lyati,United States,"['Gilbert Films', 'Oh Good Productions']",Won 1 Oscar. 21 wins & 8 nominations total,"19,476",7.8
502,Canvas,"After suffering a loss, a painter finds his inspiration to create again.","Animation, Short, Drama",General Audiences,movie,9,2020-01-01,,,United States,"['Chainwheel Productions', 'Netflix Animation']",2 wins & 2 nominations,"3,081",6.4
503,"Ariana Grande: Excuse Me, I Love You",Ariana Grande takes the stage in London for her Sweetener World Tour and shares a behind-the-scenes look at her life in rehearsal and on the road.,"Documentary, Music",Mature Audiences,movie,97,2020-01-01,Paul Dugdale,"Ariana Grande, Joesar Alva, Luis Bong Buno IV",United States,"['Den of Thieves', 'SB Films', 'Story Syndicate', 'Si-Fi Films']",1 nomination,"2,840",6.4
504,Death to 2020,Take a look back at the mad glory of the year 2020 in this comedic retrospective.,Comedy,Mature Audiences,movie,70,2020-01-01,"['Al Campbell', 'Alice Mathias']","Samuel L. Jackson, Hugh Grant, Lisa Kudrow",United States,Broke and Bones,1 nomination,"39,683",6.8
505,What Happened to Mr. Cha?,"Cha In-pyo was once a popular actor, but he is not anymore. He struggles to regain his popularity.","Comedy, Drama",Mature Audiences,movie,102,2021-01-01,Dong-kyu Kim,"Cha In-pyo, Jae-Ryong Song",South Korea,,,389,4.4
506,Pieces of a Woman,"When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.",Drama,Mature Audiences,movie,128,2020-01-01,Kornél Mundruczó,"Vanessa Kirby, Shia LaBeouf, Ellen Burstyn","Canada, Hungary, United States","['Little Lamb', 'Bron Studios', 'Proton Cinema', 'Creative Wealth Media']",Nominated for 1 Oscar. 9 wins & 63 nominations total,"54,056",7.0
507,Stuck Apart,"The story of Aziz through an existential crisis longing for his youth: he is not happy with his work nor his private life, which is hijacked by his sister and her family, who have been living with him for some time now.","Comedy, Drama",Mature Audiences,movie,96,2021-01-01,Taylan Biraderler,"Engin Günaydin, Haluk Bilginer, Binnur Kaya",Turkey,Imaj International,1 nomination,"11,135",6.0
508,The Heartbreak Club,"Coping with heartbreak, the shy owner of floundering cafe find solace in the Javanese love songs of Didi Kempot.","Comedy, Drama, Romance",Mature Audiences,movie,101,2021-01-01,Charles Gozali Bagus Bramanti,"Bhisma Mulia, Denira Wiraguna, Fransisca Saraswati Puspa Dewi",Indonesia,"['Magma Entertainment', 'Ideosource Entertainment', 'Paragon Pictures', 'Rapi Films']",7 wins & 14 nominations,216,6.3
509,Double Dad,"While her mom is away, a teen sneaks out of the hippie commune where she lives and embarks on a life-changing adventure to discover who her father is.","Comedy, Drama, Family",Parental Guidance,movie,103,2021-01-01,Cris D'Amato,"Bill Rogers, Maisa Silva, Eduardo Moscovis",Brazil,A Fabrica,,"1,457",5.6
510,Outside the Wire,"In the near future, a drone pilot sent into a war zone finds himself paired with a top-secret android officer on a mission to stop a nuclear attack.","Action, Adventure, Fantasy",Mature Audiences,movie,115,2021-01-01,Mikael Håfström,"Anthony Mackie, Damson Idris, Enzo Cilenti","Hungary, United States","['Automatik Entertainment', '42 Films', 'Inspire Entertainment']",1 nomination,"44,476",5.4
511,Tribhanga,The lives of three women spanning the late 1980s to present day and underscores the value of family in everyday life.,"Drama, Family",Mature Audiences,movie,95,2021-01-01,Renuka Shahane,"Kajol, Tanvi Azmi, Mithila Palkar",India,"['Ajay Devgn FFilms', 'Banijay Asia', 'Alchemy Productions']",1 win & 5 nominations,"3,118",6.2
512,The White Tiger,An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.,"Crime, Drama",Mature Audiences,movie,125,2021-01-01,Ramin Bahrani,"Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas","India, United States","['Lava Media', 'ARRAY', 'Noruz Films', 'Purple Pebble Pictures']",Nominated for 1 Oscar. 2 wins & 12 nominations total,"63,847",7.1
513,June & Kopi,"The life story of a girl named June from 16 years of her age until she turned 26, thereby giving an insight into those ten years of her life.","Drama, Family, Musical",Not Rated,movie,90,2019-01-01,,"Rajisha Vijayan, Sarjano Khalid, Joju George",India,Aurora Films,3 nominations,"2,078",7.4
514,Finding ʻOhana,"A summer in rural O‘ahu takes an exciting turn for two Brooklyn-raised siblings when a journal pointing to long-lost treasure sets them on an epic adventure with new friends, and leads them to reconnect with their Hawaiian heritage.","Action, Adventure, Comedy",Parental Guidance,movie,123,2021-01-01,Jude Weng,"Kea Peahu, Alex Aiono, Lindsay Watson",United States,Ian Bryce Productions,1 win & 2 nominations,"11,271",6.1
515,The Dig,An archaeologist embarks on the historically important excavation of Sutton Hoo in 1938.,"Biography, Drama, History",Parental Guidance,movie,112,2021-01-01,Simon Stone,"Carey Mulligan, Ralph Fiennes, Lily James",United Kingdom,"['Magnolia Mae Films', 'Clerkenwell Films']",Nominated for 5 BAFTA 3 wins & 10 nominations total,"79,999",7.1
516,Below Zero,"On a lonely road, a prison transport is brutally assaulted. Martin, the policeman who was driving, survives and fortifies his position while the con men search for a way to finish him.","Action, Adventure, Crime",Mature Audiences,movie,106,2021-01-01,Lluís Quílez,"Javier Gutiérrez, Karra Elejalde, Luis Callejo",Spain,"['Morena Films', 'Amorós Producciones', 'Film Factory']",2 nominations,"20,924",6.2
517,The Last Paradise,"A 1955 Italian independent film, released in the USA in 1956, which is basically a travelogue telling four stories, each about a different island in the South Pacific. Native customs, tribal rites,ceremonial procedure, courtships,...","Documentary, Romance",Not Rated,movie,107,1956-01-01,Rocco Ricciardulli,"Vairia Hatamou, Terei Autoroi, Marii Hatuguto","Italy, France","['Lebowski', 'Netflix', 'Silver Productions']",1 win & 1 nomination,32,7.5
518,Malcolm & Marie,"Malcolm is a chronically shy mechanical genius who has just been fired for building his own tram. He gets Frank, who has just been released from jail, to move in to help pay the bills. Malcolm, with Frank's help, turns to a life o...","Comedy, Crime, Sci-Fi",Parental Guidance,movie,106,1986-01-01,Sam Levinson,"Colin Friels, John Hargreaves, Lindy Davies",Australia,"['Little Lamb', 'FotoKem']",9 wins,"2,746",7.1
519,Space Sweepers,"Set in the year 2092 and follows the crew of a space junk collector ship called The Victory. When they discover a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business ...","Action, Adventure, Drama",Mature Audiences,movie,136,2021-01-01,Jo Sung-hee,"Song Joong-ki, Kim Tae-ri, Jin Seon-kyu",South Korea,"['Bidangil Pictures', 'Dexter Studios']",7 wins & 17 nominations,"27,730",6.5
520,The Misadventures of Hedi and Cokeman,"In Paris, two dysfunctional drug dealers use family ties to try and boost their business.","Action, Comedy, Crime",Mature Audiences,movie,99,2021-01-01,Julien Hollande,"Dana Abed, Ali D, Hedi Bouchenafa",France,,,699,4.4
521,Red Dot,"When Nadja becomes pregnant, she and David make an attempt to rekindle their relationship by traveling to the north of Sweden for a hiking trip, but soon their romantic trip turns into a nightmare.","Drama, Horror, Thriller",Mature Audiences,movie,85,2021-01-01,Alain Darborg,"Nanna Blondell, Anastasios Soulis, Thomas Hanzon",Sweden,,1 nomination,"14,328",5.5
522,Squared Love,A celebrity journalist and renowned womanizer starts to rethink his life choices after he falls for a mysterious model who leads a double life.,"Comedy, Romance",Mature Audiences,movie,133,2021-01-01,Filip Zylber,"Adrianna Chlebicka, Mateusz Banasiuk, Agnieszka Zulewska",Poland,Endemol Shine Polska,,"3,717",5.1
523,To All the Boys: Always and Forever,Lara Jean's senior year of high school takes center stage when she returns from a family trip to Korea and considers her college plans--with and without Peter.,"Comedy, Drama, Romance",Mature Audiences,movie,115,2021-01-01,Michael Fimognari,"Lana Condor, Noah Centineo, Janel Parrish",United States,"['Awesomeness Films', 'Ace Entertainment']",2 wins & 2 nominations,"31,061",6.3
524,Geez & Ann,They first met at an alumni event. The first meeting was very memorable for the dreamer Ann and the mysterious Geez.,"Drama, Romance",Mature Audiences,movie,105,2021-01-01,,"Junior Roberts, Hanggini, Roy Sungkono",Indonesia,MVP Pictures,1 win & 2 nominations,322,5.1
525,Crazy About Her,"After a magical night together, Adri voluntarily turns himself into the psychiatric institution where Carla lives.","Comedy, Romance",Mature Audiences,movie,102,2021-01-01,Dani de la Orden,"Álvaro Cervantes, Susana Abaitua, Luis Zahera",Spain,"['Playtime Movies', 'Sábado Películas', 'Loco Por Ti la Película']",,"6,304",6.6
526,The Girl on the Train,A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.,"Crime, Drama, Mystery",Mature Audiences,movie,120,2016-01-01,Ribhu Dasgupta,"Emily Blunt, Haley Bennett, Rebecca Ferguson","United States, India",Reliance Entertainment,Nominated for 1 BAFTA Award4 wins & 13 nominations total,"195,294",6.5
527,Moxie,"Inspired by her mom's rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school.","Comedy, Drama, Music",Parental Guidance,movie,111,2021-01-01,Amy Poehler,"Hadley Robinson, Lauren Tsai, Alycia Pascual-Pena",United States,Paper Kite Productions,,"27,748",6.7
528,Sentinelle,"Transferred home after a traumatizing combat mission, a trained French soldier uses her lethal skills to hunt down the man who hurt her sister.","Action, Crime, Drama",Mature Audiences,movie,80,2021-01-01,,"Olga Kurylenko, Marilyn Lima, Michel Nabokoff",France,"['Labyrinthe Cinéma', 'Umedia']",,"8,472",4.8
529,Yes Day,A mom and dad who usually say no decide to say yes to their kids' wildest requests with a few ground rules on a whirlwind day of fun and adventure.,"Comedy, Family",Parental Guidance,movie,86,2021-01-01,Miguel Arteta,"Jennifer Garner, Edgar Ramírez, Jenna Ortega",United States,"['Grey Matter Productions', 'Entertainment 360']",2 nominations,"28,324",5.7
530,Paper Lives,"Mehmet is a cherished fellow who runs the solid waste warehouse in the neighborhood, he helps everyone in need, especially homeless children and teenagers since he was one too.",Drama,Mature Audiences,movie,96,2021-01-01,Can Ulkay,"Çagatay Ulusoy, Emir Ali Dogrul, Ersin Arici",Turkey,OGM Pictures,2 nominations,"13,197",6.6
532,Caught by a Wave,A summer adventure under the Sicilian sun soon becomes a painful love story,"Drama, Romance, Sport",Mature Audiences,movie,99,2021-01-01,Massimiliano Camaiti,"Elvira Camarrone, Roberto Christian, Donatella Finocchiaro",Italy,Cinemaundici,,"1,456",5.8
533,A Week Away,"With nowhere left to go, Will Hawkins finds himself at camp for the first time. His instinct is to run, but he finds a friend, a father figure, and even a girl who awakens his heart. Most of all, he finally finds a home.","Drama, Family, Musical",Parental Guidance,movie,97,2021-01-01,Roman White,"Kevin Quinn, Bailee Madison, Jahbril Cook",United States,"['Monarch Media', 'Rove Productions']",1 nomination,"5,200",5.7
534,Bad Trip,This mix of a scripted buddy comedy road movie and a real hidden camera prank show follows the outrageous misadventures of two buds stuck in a rut who embark on a cross-country road trip to NYC. The storyline sets up shocking real...,Comedy,Not Rated,movie,84,2021-01-01,Kitao Sakurai,"Eric André, Michaela Conlin, Lil Rel Howery",United States,"['Orion Pictures', 'Gorilla Flicks', 'The District']",1 nomination,"26,730",6.5
535,Pagglait,"Widowed soon after marriage, a young woman grapples with an inability to grieve, quirky relatives, and a startling discovery about her late husband.","Comedy, Drama",Mature Audiences,movie,115,2021-01-01,Umesh Bist,"Sanya Malhotra, Sayani Gupta, Sheeba Chaddha",India,Balaji Motion Pictures Sikhya Entertainment,10 wins & 25 nominations,"9,948",6.9
536,Tersanjung the Movie,"Yura (Clara Bernadeth) faces the complicated love triangle between Oka (Kevin Ardilio) and Christian (Giorgino Abraham). The story of dreams, romance, and emotions raging together.","Drama, Romance",Mature Audiences,movie,114,2021-01-01,,"Clara Bernadeth, Giorgino Abraham, Kevin Ardilova",Indonesia,"['MVP Pictures', 'Dapur Film']",1 win & 1 nomination,233,6.0
537,Concrete Cowboy,"Sent to live with his estranged father for the summer, a rebellious teen finds kinship in a tight-knit Philadelphia community of Black cowboys.","Drama, Western",Mature Audiences,movie,111,2020-01-01,Ricky Staub,"Idris Elba, Caleb McLaughlin, Lorraine Toussaint","United States, United Kingdom","['Tucker Tooley Entertainment', 'Green Door Pictures', 'Lee Daniels Entertainment', 'Neighborhood Film Co.']",1 win & 3 nominations,"9,482",6.3
538,Just Say Yes,Incurable romantic Lotte's life is upended when her plans for a picture-perfect wedding unravel--just as her self-absorbed sister gets engaged.,"Comedy, Romance",Mature Audiences,movie,97,2021-01-01,"['Appie Boudellah', 'Aram van de Rest']","Yolanthe Cabau, Noortje Herlaar, Jim Bakkum",Netherlands,AM Pictures,,"2,103",4.6
539,Madame Claude,"Paris, in the late 1960s. Madame Claude is at the head of a flourishing business dedicated to prostitution that gives her power over both the French political and criminal worlds. But the end of her empire is closer than she thinks.","Biography, Crime, Drama",Mature Audiences,movie,112,2021-01-01,Sylvie Verheyde,"Karole Rocher, Garance Marillier, Roschdy Zem",France,,,"3,852",5.4
540,Have You Ever Seen Fireflies?,"Rebellious, irreverent wunderkind Gülseren navigates loneliness, love and loss against the current of political turmoil and social change.","Comedy, Drama",Mature Audiences,movie,113,2021-01-01,Andaç Haznedaroğlu,"Ecem Erkek, Devrim Yakut, Engin Alkan",Turkey,BKM,3 nominations,"5,371",6.2
541,Night in Paradise,"Hiding out in Jeju Island following a brutal tragedy, a wronged mobster with a target on his back connects with a woman who has her own demons.","Action, Crime, Drama",Mature Audiences,movie,131,2020-01-01,Park Hoon-jung,"Tae-goo Eom, Jeon Yeo-been, Seung-Won Cha",South Korea,"['Goldmoon', 'Peppermint & Company']",1 win & 9 nominations,"8,235",6.8
