,Title,Description,Genre,Rated,Type,Running Time,Release Date,Director,Cast,Country,Production Company,Wins_Nominations,IMDb Votes,IMDb Score
41,The Incredible Jessica James,An aspiring playwright in New York strikes up a friendship with a guy while on the rebound from a break-up.,Comedy,Mature Audiences,movie,83,2017-01-01,James C. Strouse,"Jessica Williams, Chris O'Dowd, LaKeith Stanfield",United States,Beachside Films,3 nominations,"8,493",6.5
42,Naked,An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.,"Comedy, Drama",Not Rated,movie,96,1994-01-01,Michael Tiddes,"David Thewlis, Lesley Sharp, Katrin Cartlidge",United Kingdom,Broken Road Productions Baby Way Productions,Nominated for 1 BAFTA Award8 wins & 7 nominations total,"42,345",7.7
44,Little Evil,"Gary, who has just married Samantha, the woman of his dreams, discovers that her six-year-old son may be the Antichrist.","Comedy, Fantasy, Horror",Mature Audiences,movie,95,2017-01-01,Eli Craig,"Evangeline Lilly, Owen Atlas, Adam Scott",United States,"['Bluegrass Films', 'Mandalay Pictures']",1 nomination,"22,678",5.7
46,First They Killed My Father,Cambodian author and human rights activist Loung Ung recounts the horrors she suffered as a child under the rule of the deadly Khmer Rouge.,"Biography, Drama, History",Mature Audiences,movie,136,2017-01-01,Angelina Jolie,"Sareum Srey Moch, Phoeung Kompheak, Sveng Socheata","Cambodia, United States",Jolie Pas,Nominated for 1 BAFTA Award9 wins & 28 nominations total,"19,798",7.2
47,Gerald's Game,"A couple tries to spice up their marriage in a remote lake house. After the husband dies unexpectedly, the wife is left handcuffed to their bed frame and must fight to survive and break free.","Drama, Horror, Thriller",Mature Audiences,movie,103,2017-01-01,Mike Flanagan,"Carla Gugino, Bruce Greenwood, Chiara Aurelia",United States,Intrepid Pictures,4 wins & 5 nominations,"120,201",6.5
48,Our Souls at Night,"Fonda and Redford star as Addie Moore and Louis Waters, a widow and widower who've lived next to each other for years. The pair have almost no relationship, but that all changes when Addie tries to make a connection with her neigh...","Drama, Romance",Mature Audiences,movie,101,2017-01-01,Ritesh Batra,"Robert Redford, Jane Fonda, Matthias Schoenaerts",United States,"Netflix Wildwood Enterprises, Inc",2 nominations,"14,486",6.9
49,Bomb Scared,"Four Basque ETA terrorists, living together with peculiar Spanish neighbors, are planning a terrorist attack in Spain, but await instructions from the head of the organization.",Comedy,Not Rated,movie,89,2017-01-01,Borja Cobeaga,"Javier Cámara, Julián López, Miren Ibarguren",Spain,"['Deluxe Spain', 'Mediapro', 'Netflix']",3 nominations,"2,998",5.7
50,The Babysitter,"When Cole stays up past his bedtime, he discovers that his hot baby sitter belongs to a satanic cult that will stop at nothing to keep him quiet.","Comedy, Horror",Mature Audiences,movie,85,2017-01-01,McG,"Judah Lewis, Samara Weaving, Robbie Amell",United States,"['Boies / Schiller Film Group Production', 'Wonderland Sound and Vision']",,"103,603",6.3
52,1922,"A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to assist. But their actions have unintended consequences.","Crime, Drama, Horror",Mature Audiences,movie,101,2017-01-01,Zak Hilditch,"Thomas Jane, Molly Parker, Dylan Schmid","United States, Canada","['Campfire Productions', 'Mist Entertainment']",1 win & 4 nominations,"69,132",6.2
53,Wheelman,A getaway driver for a bank robbery realizes he has been double crossed and races to find out who betrayed him.,"Action, Crime, Thriller",Mature Audiences,movie,82,2017-01-01,Jeremy Rush,"Frank Grillo, Caitlin Carmichael, Garret Dillahunt",United States,"['The Solution Entertainment Group', 'WarParty Films']",,"21,842",6.4
