,Title,Description,Genre,Rated,Running Time(mins),Release Date,Director,Cast,Primary Country,International,Lead Production Company,Multiple Production Companies,Wins,Nominations,IMDb Votes,IMDb Score
69,Amanda Knox,American exchange student Amanda Knox is convicted and eventually acquitted for the 2007 death of another student in Italy.,"Documentary, Crime",Mature Audiences,92,2016-01-01,Rod Blackhurst,"Amanda Knox, Meredith Kercher, Raffaele Sollecito",Denmark,1,No Production Company Listed,1,0,8,25653,6.9
70,13th,An in-depth look at the prison system in the United States and how it reveals the nation's history of racial inequality.,"Documentary, Crime, History",Mature Audiences,100,2016-01-01,Ava DuVernay,"Melina Abdullah, Michelle Alexander, Cory Booker",United States,0,Kandoo Films,0,32,47,37001,8.2
71,Sky Ladder: The Art of Cai Guo-Qiang,"Trace the rise of contemporary artist Cai Guo-Qiang from childhood in Mao's China to global art world superstar, and join his quest to realize his lifelong obsession: Sky Ladder.",Documentary,Not Rated,76,2016-01-01,Kevin Macdonald,"Ian Buruma, Guo-Qiang Cai, Wen-You Cai",United States,0,No Production Company Listed,1,0,1,1597,7.3
72,Into the Inferno,An exploration of active volcanoes around the world.,Documentary,Not Rated,104,2016-01-01,Werner Herzog,"Werner Herzog, Katia Krafft, Maurice Krafft",United Kingdom,1,No Production Company Listed,1,0,5,9581,7.2
73,The Ivory Game,Wildlife activists in take on poachers in an effort to end illegal ivory trade in Africa.,Documentary,Not Rated,112,2016-01-01,Richard Ladkani,"Andrea Crosta, Ian Stevenson, Prince William of Wales",Austria,0,Vulcan Productions,0,7,7,3434,7.8
74,Casting JonBenet,"In the months following the unsolved murder of 6-year-old beauty queen JonBenet Ramsey, responses were elicited from her Colorado hometown community, creating a work of art from the collective memories and mythologies the crime in...","Documentary, Crime, Drama",Mature Audiences,80,2017-01-01,Kitty Green,"Hannah Cagwin, Aeona Cruz, Liv Bagley",United States,1,Forensic Films,1,2,8,5630,6.1
75,The Mars Generation,Aspiring teenage astronauts reveal that a journey to Mars is closer than you think.,Documentary,Not Rated,97,2017-01-01,Michael Barnett,"Elsa Shiju, Bob Behnken, Alayna Bidlack",United States,0,No Production Company Listed,1,2,1,1023,6.5
76,Get Me Roger Stone,"A documentary exploring the life and career of notorious Republican dirty trickster and longtime Trump adviser, Roger Stone, who helped create the real estate mogul's political career.","Documentary, Biography",Mature Audiences,92,2017-01-01,Dylan Bank,"Roger Stone, Donald Trump, Jane Mayer",United States,0,No Production Company Listed,1,2,0,7635,7.3
77,Laerte-se,"After living as a man for nearly 60 years, Laerte Coutinho, one of Brazil's most brilliant cartoonists, introduces herself to the world as a woman.",Documentary,Mature Audiences,100,2017-01-01,Lygia Barbosa,"Laerte Coutinho, Eliane Brum, Rafael Coutinho",Brazil,0,No Production Company Listed,1,0,0,713,7.0
78,Joshua: Teenager vs. Superpower,"When the Chinese Communist Party backtracks on its promise of autonomy to Hong Kong, teenager Joshua Wong decides to save his city. Rallying thousands of kids to skip school and occupy the streets, Joshua becomes an unlikely leade...",Documentary,Mature Audiences,79,2017-01-01,Joe Piscatella,"Agnes Chow, Joshua 'Chi-Fung' Wong",United States,0,No Production Company Listed,1,2,3,1652,7.3
79,CounterPunch,"The seasoned pro. The Olympic hopeful. The young up-and-comer. The ring is their home, and the titles are their dream. As boxing' popularity wanes, three fighters at different stages of their career make sacrifices to pursue their...","Documentary, Sport",Not Rated,91,2017-01-01,Jay Bulger,"Oscar De La Hoya, David Diamante, Bernard Hopkins",United States,0,No Production Company Listed,1,0,2,958,6.7
80,Nobody Speak: Trials of the Free Press,"The trial between Hulk Hogan and Gawker Media pitted privacy rights against freedom of the press, and raised important questions about how big money can silence media. This film is an examination of the perils and duties of the fr...",Documentary,Mature Audiences,95,2017-01-01,Brian Knappenberger,"A.J. Daulerio, Hulk Hogan, Charles Harder",Netherlands,1,Netflix,0,0,4,4341,6.5
81,Chasing Coral,"Coral reefs around the world are vanishing at an unprecedented rate. A team of divers, photographers and scientists set out on a thrilling ocean adventure to discover why and to reveal the underwater mystery to the world.",Documentary,Not Rated,93,2017-01-01,Jeff Orlowski,"Andrew Ackerman, Pim Bongaerts, Neal Cantin",United States,0,Exposure Labs,1,7,18,5521,8.0
82,Icarus,"When Bryan sets out to uncover the truth about doping in sports, a chance meeting with a Russian scientist transforms his story from a personal experiment into a geopolitical thriller.","Documentary, Sport",Mature Audiences,121,2017-01-01,Bryan Fogel,"Bryan Fogel, Dave Zabriskie, Don Catlin",United States,0,Alex Productions,1,8,13,53225,7.9
83,Resurface,"After years of nightmares, depression, and seizures, Iraq war veteran Bobby Lane could see no way out of his trauma other than suicide. Then he met Van Curaza, a former big wave surfer who since founded Operation Surf and dedicate...","Documentary, Short, Sport",Not Rated,26,2017-01-01,Joshua Izenberg,"Bobby Lane, Van Curaza, Martin Pollock",United States,0,No Production Company Listed,1,2,0,493,6.9
84,Heroin(e),Three women fight to break the cycle one life at a time.,"Documentary, Short",Not Rated,39,2017-01-01,Elaine McMillion Sheldon,"Jan Rader, Patricia Keller, Necia Freeman",United States,0,No Production Company Listed,1,1,3,3203,6.8
85,Strong Island,"When filmmaker Yance Ford investigates the 1992 murder of a young Black man, it becomes an achingly personal journey since the victim, 24-year-old William Ford Jr., was the filmmaker's brother.","Documentary, Crime",Mature Audiences,107,2017-01-01,Yance Ford,"Yance Ford, Harvey Walker, Kevin Myers",United States,1,Yanceville Films Louverture Films,0,13,11,4049,6.4
