,Title,Description,Genre,Rated,Running Time(mins),Release Date,Director,Cast,Primary Country,International,Lead Production Company,Multiple Production Companies,Wins,Nominations,IMDb Votes,IMDb Score
444,Athlete A,Follow the Indianapolis Star reporters that broke the story about USA Gymnastics doctor Larry Nassar's abuse and hear from gymnasts like Maggie Nichols.,"Documentary, Crime, Sport",Parental Guidance,104,2020-01-01,Bonni Cohen,"Maggie Nichols, Gina Nichols, John Nichols",United States,0,Actual Films,0,4,10,12028,7.6
445,Mucho Mucho Amor: The Legend of Walter Mercado,"Every day for decades, Walter Mercado — the iconic, gender non-conforming astrologer — mesmerized 120 million Latino viewers with his extravagance and positivity.",Documentary,Mature Audiences,96,2020-01-01,Cristina Costantini,"Walter Mercado, Willy Acosta, Lin-Manuel Miranda",United States,0,Muck Media,1,4,9,3438,7.3
446,The Claudia Kishi Club,Fans of the Babysitters Club books discuss the importance of the character of Claudia.,"Documentary, Short",Not Rated,17,2020-01-01,Sue Ding,"Lucia de la Garza, Mila de la Garza, Bela Salazar",United States,0,No Production Company Listed,1,0,1,149,6.9
447,We Are One,Activists around the world fight injustice and drive social change in this documentary that follows their participation in the music video Solidarité.,Documentary,Mature Audiences,86,2020-01-01,Stéphane de Freitas,"Afaq, Panmela Castro, Stéphane de Freitas",France,0,No Production Company Listed,1,0,0,94,4.6
448,Father Soldier Son,"When Sgt. First Class Brian Eisch is critically wounded in Afghanistan, it sets him and his sons on a journey of love, loss, redemption and legacy.","Documentary, War",Mature Audiences,99,2020-01-01,Catrin Einhorn,"Brian Eisch, Isaac Eisch, Joey Eisch",United States,0,Netflix,0,3,2,1023,7.3
449,The Speed Cubers,Discover the special bond -- and uncommon competitive spirit -- shared by the world's Rubik's Cube-solving record breakers in this documentary.,"Documentary, Short, Sport",Parental Guidance,40,2020-01-01,Sue Kim,"Max Park, Schwan Park, Philipp Weyer",United States,0,Saltwater Films,1,0,2,4081,7.4
450,Anelka: Misunderstood,"Bad boy of the French football, arrogant, precocious, misunderstood, scorer, unclassifiable, genius, unmanageable. Despite a having a career of almost 20 years at the highest level, Nicolas Anelka is still hard to define.","Documentary, Sport",Mature Audiences,94,2020-01-01,Franck Nataf,"Roman Abramovich, Fabrice Abriel, Samir Amireche",France,0,No Production Company Listed,1,0,0,3419,6.4
451,John Was Trying to Contact Aliens,John Shepherd spent 30 years trying to contact extraterrestrials by broadcasting music millions of miles into space. After giving up the search he makes a different connection here on Earth.,"Documentary, Short, Biography",Not Rated,16,2020-01-01,Matthew Killip,"John Shepherd, John Litrenta",United States,0,Netflix,0,2,2,1656,6.4
452,Rising Phoenix,"The history and current standing of the Paralympic Games, which has grown to become the world's third largest sporting event.","Documentary, Sport",Parental Guidance,105,2020-01-01,Ian Bonhôte,"Jean-Baptiste Alaize, Ryley Batt, Ellie Cole",United Kingdom,0,HTYT Films,0,2,8,1800,8.1
453,My Octopus Teacher,"A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world.",Documentary,Parental Guidance,85,2020-01-01,Pippa Ehrlich,"Craig Foster, Tom Foster",South Africa,0,Off The Fence,0,11,15,60209,8.1
454,The Social Dilemma,Explores the dangerous human impact of social networking; tech experts sound the alarm on their own creations.,"Documentary, Drama",Parental Guidance,94,2020-01-01,Jeff Orlowski,"Tristan Harris, Jeff Seibert, Bailey Richardson",United States,0,Exposure Labs,1,7,22,87440,7.6
455,Hope Frozen,"After her untimely death, a scientist from Bangkok cryo-preserves his daughter's brain. Scandal swirls around the family as they struggle to grieve a child that, in their view, is suspended between death and reawakening.","Documentary, Drama",Parental Guidance,75,2020-01-01,Pailin Wedel,"Max More, Matrix Naovaratpong, Nareerat Naovaratpong",Thailand,1,2050 Productions,0,2,5,614,6.6
456,Gims: On the Record,Go backstage with beloved rap superstar Gims in the year leading up to his major 2019 Stade de France performance in this up-close documentary.,"Documentary, Music",Mature Audiences,96,2020-01-01,Florent Bodin,"Chaz Hodges, Lorene Chesley, Maître Gims",France,0,Netflix,0,0,0,224,6.9
457,A Love Song for Latasha,The injustice surrounding the shooting death of 15-year-old Latasha Harlins at a South Central Los Angeles store became a flashpoint for the city’s 1992 civil uprising.,"Documentary, Short, Biography",Parental Guidance,19,2019-01-01,Sophia Nahli Allison,"Tybie O'Bard, Shinese Harlins, Zoe Flint",United States,0,No Production Company Listed,1,6,6,2555,6.8
458,American Murder: The Family Next Door,"In 2018, 34-year-old Shanann Watts and her two young daughters disappear in Colorado. With the heartbreaking details emerging, the family's story made headlines around the world.","Documentary, Crime",Mature Audiences,82,2020-01-01,Jenny Popplewell,"Nickole Atkinson, Jim Benemann, Luke Epple",United Kingdom,0,Knickerbockerglory,0,2,4,31191,7.2
459,Dick Johnson Is Dead,A daughter helps her father prepare for the end of his life.,"Documentary, Biography, Drama",Parental Guidance,89,2020-01-01,Kirsten Johnson,"Michael Hilow, Ana Hoffman, Dick Johnson",United States,0,Big Mouth Productions,0,19,42,7068,7.4
460,David Attenborough: A Life on Our Planet,One man has seen more of the natural world than any other. This unique feature documentary is his witness statement.,"Documentary, Biography",Parental Guidance,83,2020-01-01,Alastair Fothergill,"David Attenborough, Max Hughes",United Kingdom,0,Altitude Film Entertainment,1,8,10,33725,8.9
461,Blackpink: Light Up the Sky,Chart the meteoric rise of the South Korean girl group BLACKPINK in director Caroline Suh's documentary.,"Documentary, Music",Mature Audiences,79,2020-01-01,Caroline Suh,"Reila Post, Blackpink, Jennie Kim",United States,1,RadicalMedia,0,0,0,7136,7.3
462,The Three Deaths of Marisela Escobedo,Follows a mother's tireless crusade to jail her daughter's murderer after Mexico's justice system failed to do so.,"Documentary, Crime",Mature Audiences,109,2020-01-01,Carlos Perez Osorio,"Juan Manuel Fraire Escobedo, Alejandro Fraire, Blanca Escobedo",Mexico,0,Scopio,1,1,6,1886,8.2
463,Rooting for Roona,A little girl named Roona Begum is born in the North East of India with an unprecedented head size caused by a birth defect. This is the story of one family and how they raise a child against insurmountable odds.,"Documentary, Short, Drama",Not Rated,41,2020-01-01,Pavitra Chalam,No Cast Available,India,0,Curley Street,0,1,2,476,7.0
464,Secrets of the Saqqara Tomb,"After unearthing a tomb that had been untouched for 4,400 years, Egyptian archaeologists attempt to decipher the history of the astonishing find.","Documentary, History",Parental Guidance,113,2020-01-01,James Tovell,"Ahmed Zikrey Abdellhak, Ghareeb Ali Mohammed Abushousha, Nabil Eldaleel",United Kingdom,0,At Land Productions,1,0,0,7042,7.2
465,Shawn Mendes: In Wonder,"A portrait of singer/songwriter Shawn Mendes' life, chronicling the past few years of his rise and journey.","Documentary, Music",Mature Audiences,83,2020-01-01,Grant Singer,"Shawn Mendes, Camila Cabello, Evan A. Dunn",United States,0,Netflix,0,0,1,2178,6.5
466,Dance Dreams: Hot Chocolate Nutcracker,"Behind-the-scenes at the Debbie Allen Dance Academy and their award-winning version of The Nutcracker, which blends a variety of dance traditions.","Documentary, Family",Parental Guidance,80,2020-01-01,Oliver Bokelberg,"Debbie Allen, Tichina Arnold, Vivian Nixon",United States,0,Shondaland,0,0,0,378,7.1
467,Giving Voice,This film follows the annual August Wilson Monologue competition and the thousands of high schoolers who enter the competition for the opportunity to perform on Broadway.,Documentary,Parental Guidance,87,2020-01-01,James D. Stern,"Mary Alice, Annette Bening, Glenn Close",United States,0,Endgame Entertainment,1,1,0,323,7.0
468,What Did Jack do?,"In a locked down train station, a homicide detective conducts an interview with a tormented monkey.","Short, Comedy, Crime",Mature Audiences,17,2017-01-01,David Lynch,"Jack Cruz, David Lynch, Toototabon",United States,0,No Production Company Listed,1,0,0,14091,6.4
469,Road to Roma,Director Alfonso Cuaron reflects on the creative decisions behind ROMA.,Documentary,Not Rated,72,2020-01-01,Andres Clariond,"Yalitza Aparicio, Odín Ayala, Eugenio Caballero",Mexico,0,Netflix,0,0,0,719,7.7
470,Sitara: Let Girls Dream,"The short tells the story of Pari, a 14-year-old girl who dreams of becoming a pilot while growing up in a society that doesn't allow her to dream.","Animation, Short, Drama",Not Rated,15,2020-01-01,Sharmeen Obaid-Chinoy,No Cast Available,Pakistan,1,Netflix,1,3,0,793,7.1
471,Ben Platt Live from Radio City Music Hall,"Backed by a full band and a ready wit, actor Ben Platt opens up a very personal songbook onstage - numbers from his debut LP, ""Sing to Me Instead.""",Music,Parental Guidance,85,2020-01-01,Alex Timbers,"Ben Platt, Crystal Monee Hall, Kojo Littles",United States,0,Fulwell 73,1,0,0,533,8.3
472,Sarah Cooper: Everything's Fine,"A variety special full of issues of politics, race, gender and class. Sarah will also be joined by special guests.",Comedy,Mature Audiences,49,2020-01-01,Natasha Lyonne,"Marisa Tomei, Winona Ryder, Aubrey Plaza",United States,0,No Production Company Listed,1,0,1,1821,5.5
473,Alien Xmas,"When extraterrestrials attempt to steal Earth's gravity, only the gift-giving spirit of Christmas -- and a small Alien named X -- can save the world.","Animation, Short, Adventure",General Audiences,42,2020-01-01,Stephen Chiodo,"Keythe Farley, Dee Bradley Baker, Kaliayh Rhambo",United States,0,Chiodo Brothers Productions,1,0,1,1454,6.2
474,If Anything Happens I Love You,"In the aftermath of tragedy, two grieving parents journey through an emotional void as they mourn the loss of a child.","Animation, Short, Drama",Parental Guidance,12,2020-01-01,Will McCormack,Muneer Lyati,United States,0,Gilbert Films,1,21,8,19476,7.8
475,Canvas,"After suffering a loss, a painter finds his inspiration to create again.","Animation, Short, Drama",General Audiences,9,2020-01-01,Frank E. Abney III,No Cast Available,United States,0,Chainwheel Productions,1,2,2,3081,6.4
476,"Ariana Grande: Excuse Me, I Love You",Ariana Grande takes the stage in London for her Sweetener World Tour and shares a behind-the-scenes look at her life in rehearsal and on the road.,"Documentary, Music",Mature Audiences,97,2020-01-01,Paul Dugdale,"Ariana Grande, Joesar Alva, Luis Bong Buno IV",United States,0,Den of Thieves,1,0,1,2840,6.4
477,Death to 2020,Take a look back at the mad glory of the year 2020 in this comedic retrospective.,Comedy,Mature Audiences,70,2020-01-01,Al Campbell,"Samuel L. Jackson, Hugh Grant, Lisa Kudrow",United States,0,Broke and Bones,0,0,1,39683,6.8
478,What Happened to Mr. Cha?,"Cha In-pyo was once a popular actor, but he is not anymore. He struggles to regain his popularity.","Comedy, Drama",Mature Audiences,102,2021-01-01,Dong-kyu Kim,"Cha In-pyo, Jae-Ryong Song",South Korea,0,No Production Company Listed,1,0,0,389,4.4
479,Pieces of a Woman,"When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.",Drama,Mature Audiences,128,2020-01-01,Kornél Mundruczó,"Vanessa Kirby, Shia LaBeouf, Ellen Burstyn",Canada,1,Little Lamb,1,9,63,54056,7.0
480,Stuck Apart,"The story of Aziz through an existential crisis longing for his youth: he is not happy with his work nor his private life, which is hijacked by his sister and her family, who have been living with him for some time now.","Comedy, Drama",Mature Audiences,96,2021-01-01,Taylan Biraderler,"Engin Günaydin, Haluk Bilginer, Binnur Kaya",Turkey,0,Imaj International,0,0,1,11135,6.0
481,The Heartbreak Club,"Coping with heartbreak, the shy owner of floundering cafe find solace in the Javanese love songs of Didi Kempot.","Comedy, Drama, Romance",Mature Audiences,101,2021-01-01,Charles Gozali Bagus Bramanti,"Bhisma Mulia, Denira Wiraguna, Fransisca Saraswati Puspa Dewi",Indonesia,0,Magma Entertainment,1,7,14,216,6.3
482,Double Dad,"While her mom is away, a teen sneaks out of the hippie commune where she lives and embarks on a life-changing adventure to discover who her father is.","Comedy, Drama, Family",Parental Guidance,103,2021-01-01,Cris D'Amato,"Bill Rogers, Maisa Silva, Eduardo Moscovis",Brazil,0,A Fabrica,0,0,0,1457,5.6
483,Outside the Wire,"In the near future, a drone pilot sent into a war zone finds himself paired with a top-secret android officer on a mission to stop a nuclear attack.","Action, Adventure, Fantasy",Mature Audiences,115,2021-01-01,Mikael Håfström,"Anthony Mackie, Damson Idris, Enzo Cilenti",Hungary,1,Automatik Entertainment,1,0,1,44476,5.4
484,Tribhanga,The lives of three women spanning the late 1980s to present day and underscores the value of family in everyday life.,"Drama, Family",Mature Audiences,95,2021-01-01,Renuka Shahane,"Kajol, Tanvi Azmi, Mithila Palkar",India,0,Ajay Devgn FFilms,1,1,5,3118,6.2
485,The White Tiger,An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.,"Crime, Drama",Mature Audiences,125,2021-01-01,Ramin Bahrani,"Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas",India,1,Lava Media,1,2,12,63847,7.1
486,June & Kopi,"The life story of a girl named June from 16 years of her age until she turned 26, thereby giving an insight into those ten years of her life.","Drama, Family, Musical",Not Rated,90,2019-01-01,Ahammed Khabeer,"Rajisha Vijayan, Sarjano Khalid, Joju George",India,0,Aurora Films,0,0,3,2078,7.4
487,Finding ʻOhana,"A summer in rural O‘ahu takes an exciting turn for two Brooklyn-raised siblings when a journal pointing to long-lost treasure sets them on an epic adventure with new friends, and leads them to reconnect with their Hawaiian heritage.","Action, Adventure, Comedy",Parental Guidance,123,2021-01-01,Jude Weng,"Kea Peahu, Alex Aiono, Lindsay Watson",United States,0,Ian Bryce Productions,0,1,2,11271,6.1
488,The Dig,An archaeologist embarks on the historically important excavation of Sutton Hoo in 1938.,"Biography, Drama, History",Parental Guidance,112,2021-01-01,Simon Stone,"Carey Mulligan, Ralph Fiennes, Lily James",United Kingdom,0,Magnolia Mae Films,1,3,10,79999,7.1
489,Below Zero,"On a lonely road, a prison transport is brutally assaulted. Martin, the policeman who was driving, survives and fortifies his position while the con men search for a way to finish him.","Action, Adventure, Crime",Mature Audiences,106,2021-01-01,Lluís Quílez,"Javier Gutiérrez, Karra Elejalde, Luis Callejo",Spain,0,Morena Films,1,0,2,20924,6.2
490,The Last Paradise,"A 1955 Italian independent film, released in the USA in 1956, which is basically a travelogue telling four stories, each about a different island in the South Pacific. Native customs, tribal rites,ceremonial procedure, courtships,...","Documentary, Romance",Not Rated,107,1956-01-01,Rocco Ricciardulli,"Vairia Hatamou, Terei Autoroi, Marii Hatuguto",Italy,1,Lebowski,1,1,1,32,7.5
491,Malcolm & Marie,"Malcolm is a chronically shy mechanical genius who has just been fired for building his own tram. He gets Frank, who has just been released from jail, to move in to help pay the bills. Malcolm, with Frank's help, turns to a life o...","Comedy, Crime, Sci-Fi",Parental Guidance,106,1986-01-01,Sam Levinson,"Colin Friels, John Hargreaves, Lindy Davies",Australia,0,Little Lamb,1,9,0,2746,7.1
492,Space Sweepers,"Set in the year 2092 and follows the crew of a space junk collector ship called The Victory. When they discover a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business ...","Action, Adventure, Drama",Mature Audiences,136,2021-01-01,Jo Sung-hee,"Song Joong-ki, Kim Tae-ri, Jin Seon-kyu",South Korea,0,Bidangil Pictures,1,7,17,27730,6.5
493,The Misadventures of Hedi and Cokeman,"In Paris, two dysfunctional drug dealers use family ties to try and boost their business.","Action, Comedy, Crime",Mature Audiences,99,2021-01-01,Julien Hollande,"Dana Abed, Ali D, Hedi Bouchenafa",France,0,No Production Company Listed,1,0,0,699,4.4
494,Red Dot,"When Nadja becomes pregnant, she and David make an attempt to rekindle their relationship by traveling to the north of Sweden for a hiking trip, but soon their romantic trip turns into a nightmare.","Drama, Horror, Thriller",Mature Audiences,85,2021-01-01,Alain Darborg,"Nanna Blondell, Anastasios Soulis, Thomas Hanzon",Sweden,0,No Production Company Listed,1,0,1,14328,5.5
495,Squared Love,A celebrity journalist and renowned womanizer starts to rethink his life choices after he falls for a mysterious model who leads a double life.,"Comedy, Romance",Mature Audiences,133,2021-01-01,Filip Zylber,"Adrianna Chlebicka, Mateusz Banasiuk, Agnieszka Zulewska",Poland,0,Endemol Shine Polska,0,0,0,3717,5.1
496,To All the Boys: Always and Forever,Lara Jean's senior year of high school takes center stage when she returns from a family trip to Korea and considers her college plans--with and without Peter.,"Comedy, Drama, Romance",Mature Audiences,115,2021-01-01,Michael Fimognari,"Lana Condor, Noah Centineo, Janel Parrish",United States,0,Awesomeness Films,1,2,2,31061,6.3
497,Geez & Ann,They first met at an alumni event. The first meeting was very memorable for the dreamer Ann and the mysterious Geez.,"Drama, Romance",Mature Audiences,105,2021-01-01,Rizki Balki,"Junior Roberts, Hanggini, Roy Sungkono",Indonesia,0,MVP Pictures,0,1,2,322,5.1
498,Crazy About Her,"After a magical night together, Adri voluntarily turns himself into the psychiatric institution where Carla lives.","Comedy, Romance",Mature Audiences,102,2021-01-01,Dani de la Orden,"Álvaro Cervantes, Susana Abaitua, Luis Zahera",Spain,0,Playtime Movies,1,0,0,6304,6.6
499,The Girl on the Train,A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.,"Crime, Drama, Mystery",Mature Audiences,120,2016-01-01,Ribhu Dasgupta,"Emily Blunt, Haley Bennett, Rebecca Ferguson",United States,1,Reliance Entertainment,0,4,13,195294,6.5
500,Moxie,"Inspired by her mom's rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school.","Comedy, Drama, Music",Parental Guidance,111,2021-01-01,Amy Poehler,"Hadley Robinson, Lauren Tsai, Alycia Pascual-Pena",United States,0,Paper Kite Productions,0,0,0,27748,6.7
501,Sentinelle,"Transferred home after a traumatizing combat mission, a trained French soldier uses her lethal skills to hunt down the man who hurt her sister.","Action, Crime, Drama",Mature Audiences,80,2021-01-01,Julien Leclercq,"Olga Kurylenko, Marilyn Lima, Michel Nabokoff",France,0,Labyrinthe Cinéma,1,0,0,8472,4.8
502,Yes Day,A mom and dad who usually say no decide to say yes to their kids' wildest requests with a few ground rules on a whirlwind day of fun and adventure.,"Comedy, Family",Parental Guidance,86,2021-01-01,Miguel Arteta,"Jennifer Garner, Edgar Ramírez, Jenna Ortega",United States,0,Grey Matter Productions,1,0,2,28324,5.7
503,Paper Lives,"Mehmet is a cherished fellow who runs the solid waste warehouse in the neighborhood, he helps everyone in need, especially homeless children and teenagers since he was one too.",Drama,Mature Audiences,96,2021-01-01,Can Ulkay,"Çagatay Ulusoy, Emir Ali Dogrul, Ersin Arici",Turkey,0,OGM Pictures,0,0,2,13197,6.6
504,Caught by a Wave,A summer adventure under the Sicilian sun soon becomes a painful love story,"Drama, Romance, Sport",Mature Audiences,99,2021-01-01,Massimiliano Camaiti,"Elvira Camarrone, Roberto Christian, Donatella Finocchiaro",Italy,0,Cinemaundici,0,0,0,1456,5.8
505,A Week Away,"With nowhere left to go, Will Hawkins finds himself at camp for the first time. His instinct is to run, but he finds a friend, a father figure, and even a girl who awakens his heart. Most of all, he finally finds a home.","Drama, Family, Musical",Parental Guidance,97,2021-01-01,Roman White,"Kevin Quinn, Bailee Madison, Jahbril Cook",United States,0,Monarch Media,1,0,1,5200,5.7
506,Bad Trip,This mix of a scripted buddy comedy road movie and a real hidden camera prank show follows the outrageous misadventures of two buds stuck in a rut who embark on a cross-country road trip to NYC. The storyline sets up shocking real...,Comedy,Not Rated,84,2021-01-01,Kitao Sakurai,"Eric André, Michaela Conlin, Lil Rel Howery",United States,0,Orion Pictures,1,0,1,26730,6.5
507,Pagglait,"Widowed soon after marriage, a young woman grapples with an inability to grieve, quirky relatives, and a startling discovery about her late husband.","Comedy, Drama",Mature Audiences,115,2021-01-01,Umesh Bist,"Sanya Malhotra, Sayani Gupta, Sheeba Chaddha",India,0,Balaji Motion Pictures,0,10,25,9948,6.9
508,Tersanjung the Movie,"Yura (Clara Bernadeth) faces the complicated love triangle between Oka (Kevin Ardilio) and Christian (Giorgino Abraham). The story of dreams, romance, and emotions raging together.","Drama, Romance",Mature Audiences,114,2021-01-01,Pandu Adjisurya,"Clara Bernadeth, Giorgino Abraham, Kevin Ardilova",Indonesia,0,MVP Pictures,1,1,1,233,6.0
509,Concrete Cowboy,"Sent to live with his estranged father for the summer, a rebellious teen finds kinship in a tight-knit Philadelphia community of Black cowboys.","Drama, Western",Mature Audiences,111,2020-01-01,Ricky Staub,"Idris Elba, Caleb McLaughlin, Lorraine Toussaint",United States,1,Tucker Tooley Entertainment,1,1,3,9482,6.3
510,Just Say Yes,Incurable romantic Lotte's life is upended when her plans for a picture-perfect wedding unravel--just as her self-absorbed sister gets engaged.,"Comedy, Romance",Mature Audiences,97,2021-01-01,Appie Boudellah,"Yolanthe Cabau, Noortje Herlaar, Jim Bakkum",Netherlands,0,AM Pictures,0,0,0,2103,4.6
511,Madame Claude,"Paris, in the late 1960s. Madame Claude is at the head of a flourishing business dedicated to prostitution that gives her power over both the French political and criminal worlds. But the end of her empire is closer than she thinks.","Biography, Crime, Drama",Mature Audiences,112,2021-01-01,Sylvie Verheyde,"Karole Rocher, Garance Marillier, Roschdy Zem",France,0,No Production Company Listed,1,0,0,3852,5.4
512,Have You Ever Seen Fireflies?,"Rebellious, irreverent wunderkind Gülseren navigates loneliness, love and loss against the current of political turmoil and social change.","Comedy, Drama",Mature Audiences,113,2021-01-01,Andaç Haznedaroğlu,"Ecem Erkek, Devrim Yakut, Engin Alkan",Turkey,0,BKM,0,0,3,5371,6.2
513,Night in Paradise,"Hiding out in Jeju Island following a brutal tragedy, a wronged mobster with a target on his back connects with a woman who has her own demons.","Action, Crime, Drama",Mature Audiences,131,2020-01-01,Park Hoon-jung,"Tae-goo Eom, Jeon Yeo-been, Seung-Won Cha",South Korea,0,Goldmoon,1,1,9,8235,6.8
514,Thunder Force,"In a world where supervillains are commonplace, two estranged childhood best friends reunite after one devises a treatment that gives them powers to protect their city.","Action, Adventure, Comedy",Parental Guidance,106,2021-01-01,Ben Falcone,"Melissa McCarthy, Octavia Spencer, Jason Bateman",United States,0,On the Day Productions,1,0,1,44494,4.5
515,Prime Time,"On New Year's Eve 1999, an armed man enters a TV studio during a broadcast, takes the host hostage and makes one demand: to give a message live on air.","Drama, Thriller",Mature Audiences,93,2021-01-01,Jakub Piątek,"Bartosz Bielenia, Magdalena Poplawska, Andrzej Klak",Poland,0,Watchout Studio,1,2,2,1934,5.2
516,Ride or Die,"Rei helps the woman she's been in love with for years escape her abusive husband. While on the run, their feelings for each other catch fire.","Crime, Drama, Romance",Mature Audiences,142,2021-01-01,Ryuichi Hiroki,"Kiko Mizuhara, Honami Satô, Shinya Niiro",Japan,0,No Production Company Listed,1,0,1,2352,5.6
517,Ajeeb Daastaans,Four shorts explore the surprising ways in which unexpected catalysts inflame the uncomfortable emotions simmering under fractured relationships.,"Drama, Romance",Mature Audiences,142,2021-01-01,Neeraj Ghaywan,"Fatima Sana Shaikh, Jaideep Ahlawat, Armaan Ralhan",India,0,Dharmatic Entertainment,0,9,9,6192,6.7
518,Arlo the Alligator Boy,"A young humanoid alligator travels to the big city in hopes of reuniting with his estranged father, meeting a colorful cast of characters along the way.","Animation, Adventure, Comedy",General Audiences,92,2021-01-01,Ryan Crego,"Michael J. Woodard, Ryan Crego, Dee Bradley Baker",United States,0,"Titmouse, Inc.",1,0,6,1217,6.4
519,Get the Grift,"After a botched scam, Clóvis bumps into Lohane, his estranged foster sister. In a bind, they soon realize the only way out is to band together.","Comedy, Crime",Mature Audiences,94,2021-01-01,Pedro Antônio Paes,"Marcus Majella, Samantha Schmütz, Zeca Carvalho",Brazil,0,No Production Company Listed,1,0,0,835,5.3
520,Things Heard & Seen,"An artist relocates to the Hudson Valley and begins to suspect that her marriage has a sinister darkness, one that rivals her new home's history.","Drama, Horror, Mystery",Mature Audiences,121,2021-01-01,Shari Springer Berman Robert Pulcini,"Amanda Seyfried, James Norton, Natalia Dyer",United States,0,Likely Story,0,1,0,34685,5.3
521,The Disciple,"Self-doubt, sacrifice and struggle converge into an existential crisis for a devoted classical vocalist as the mastery he strives for remains elusive.","Drama, Music",Mature Audiences,127,2020-01-01,Chaitanya Tamhane,"Aditya Modak, Arun Dravid, Sumitra Bhave",India,0,Zoo Entertainment,0,14,12,2933,7.1
522,Monster,"Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer.","Biography, Crime, Drama",Mature Audiences,98,2018-01-01,Anthony Mandler,"Charlize Theron, Christina Ricci, Bruce Dern",United States,1,Bron Studios,1,31,26,158002,7.3
523,Oxygen,"A woman wakes in a cryogenic chamber with no recollection of how she got there. As she's running out of oxygen, she must rebuild her memory to find a way out of her nightmare.","Drama, Fantasy, Sci-Fi",Mature Audiences,101,2021-01-01,Alexandre Aja,"Mélanie Laurent, Mathieu Amalric, Malik Zidi",France,1,Gateway Films,1,0,1,42491,6.5
524,Ferry,"Ruthless Ferry Bouman is sent to his native region of Brabant by his boss Brink to avenge an attack on their gang. When he meets lovely Danielle and old family feuds resurface, Brabant starts to pierce his steel armour.","Action, Crime, Drama",Mature Audiences,106,2021-01-01,Cecilia Verheyden,"Frank Lammers, Elise Schaap, Huub Stapel",Belgium,1,deMENSEN,0,1,3,11958,7.0
525,I Am All Girls,A special crimes investigator forms an unlikely bond with a serial killer to bring down a global child sex trafficking syndicate.,"Crime, Drama, Mystery",Mature Audiences,107,2021-01-01,Donovan Marsh,"Erica Wessels, Hlubi Mboya, Leshego Molokwane",South Africa,0,Nthibah Pictures,0,3,10,6954,6.0
526,The Woman in the Window,"An agoraphobic woman living alone in New York begins spying on her new neighbors, only to witness a disturbing act of violence.","Crime, Drama, Mystery",Mature Audiences,100,2021-01-01,Joe Wright,"Amy Adams, Gary Oldman, Anthony Mackie",United States,0,20th Century Studios,1,0,8,80207,5.7
527,Sardar Ka Grandson,A devoted grandson embarks on a complicated and comic journey to fulfill his ailing grandmother's last wish.,"Comedy, Drama, Romance",Mature Audiences,140,2021-01-01,Kaashvie Nair,"John Abraham, Aditi Rao Hydari, Rakul Preet Singh",India,0,T-Series,0,1,4,4728,4.2
528,Army of the Dead,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.","Action, Crime, Drama",Mature Audiences,148,2021-01-01,Zack Snyder,"Dave Bautista, Ella Purnell, Ana de la Reguera",United States,0,The Stone Quarry,0,1,4,181692,5.8
529,Baggio: The Divine Ponytail,"Biographical film about Italian footballer Roberto Baggio, a man who inspired entire generations to play football. A unique footballer, capable of thrilling fans all over the world.","Biography, Drama, Sport",Mature Audiences,92,2021-01-01,Letizia Lamartire,"Andrea Arcangeli, Valentina Bellè, Thomas Trabacchi",Italy,0,Fabula Pictures,0,0,0,4958,6.1
530,Ghost Lab,"After witnessing a haunting in their hospital, two doctors become dangerously obsessed with obtaining scientific proof that ghosts exist.","Drama, Horror, Thriller",Mature Audiences,117,2021-01-01,Paween Purijitpanya,"Thanapob Leeratanakachorn, Paris Intarakomalyasut, Nuttanicha Dungwattanawanich",Thailand,0,GDH 559 Jorkwang Film,0,0,0,1623,5.2
531,Blue Miracle,"To save their cash-strapped orphanage, a guardian and his kids partner with a washed-up boat captain for a chance to win a lucrative fishing competition.","Adventure, Biography, Drama",Parental Guidance,95,2021-01-01,Julio Quintana,"Dennis Quaid, Jimmy Gonzales, Miguel Angel Garcia",United States,0,Mucho Mas Media,1,1,2,7643,6.6
532,Carnaval,"After a breakup, an influencer takes her friends on a free trip to Bahia's vibrant Carnival, where she learns life's not just about social media likes.",Comedy,Mature Audiences,94,2021-01-01,Leandro Neri,"Alexandre Moreira, Antônio Rafaski, Bruna Inocencio",Brazil,0,No Production Company Listed,1,0,0,1008,4.1
533,Dancing Queens,"The story of Dylan Pettersson, a 23 year old girl from a small island in the Swedish archipelago with big dancing aspirations.","Comedy, Drama",Mature Audiences,110,2021-01-01,Helena Bergström,"Rakel Wärmländer, Emil Almén, Molly Nutley",Sweden,0,Sweetwater Production,0,0,0,2063,5.7
