,Title,Description,Genre,Rated,Running Time(mins),Release Date,Director,Cast,Primary Country,International,Lead Production Company,Multiple Production Companies,Wins,Nominations,IMDb Votes,IMDb Score,Plot
306,The Unauthorized Bash Brothers Experience,The Lonely Island spoofs notorious baseball stars Jose Canseco and Mark McGwire in this visual rap album set in the Bash Brothers' 1980s heyday.,"Short, Comedy, Music",Mature Audiences,30,2019-05-23,Mike Diva,"Andy Samberg, Akiva Schaffer, Jorma Taccone",United States,0,The Lonely Island Imposter Lord Danger,0,0,0,5457.0,6.9,The Lonely Island spoofs notorious baseball stars Jose Canseco and Mark McGwire in this visual rap album set in the Bash Brothers' 1980s heyday.
307,Anima,"In a short musical film directed by Paul Thomas Anderson, Thom Yorke of Radiohead scores and stars in a mind-bending visual piece. Best played loud.","Short, Music",Not Rated,15,2019-06-27,Paul Thomas Anderson,"Thom Yorke, Dajana Roncione, Frida Dam Seidel",United Kingdom,0,No Production Company Listed,1,0,1,12613.0,7.6,"In a short musical film directed by Paul Thomas Anderson, Thom Yorke of Radiohead scores and stars in a mind-bending visual piece. Best played loud."
308,"Frankenstein's Monster's Monster, Frankenstein","David Harbour delves into the enigmatic history of his legendary acting family, as he examines his father's legacy and role in a made-for-TV play.",Comedy,Mature Audiences,32,2019-07-16,Daniel Gray Longino,"David Harbour, Kate Berlant, Alex Ozerov-Meyer",United States,0,Levenstein Harbour Longino,1,0,0,2347.0,5.8,"David Harbour delves into the enigmatic history of his legendary acting family, as he examines his father's legacy and role in a made-for-TV play."
309,Rocko's Modern Life: Static Cling,"After being in space for 20 years, Rocko and his friends attempt to adjust to an even more modern life in the 21st century. However, when he learns that his favorite 90s cartoon isn't on the air anymore, Rocko tries locating its c...","Animation, Action, Adventure",General Audiences,45,2019-08-09,Joe Murray,"Carlos Alazraqui, Tom Kenny, Charlie Adler",United States,0,Nickelodeon,0,0,1,4058.0,6.9,"After being in space for 20 years, Rocko and his friends attempt to adjust to an even more modern life in the 21st century. However, when he learns that his favorite 90s cartoon isn't on the air anymore, Rocko tries locating its c..."
310,The Irishman: In Conversation,"A roundtable discussion about The Irishman (2019) with Martin Scorsese, Robert De Niro, Al Pacino and Joe Pesci.","Documentary, Short",Mature Audiences,23,2019-11-27,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci",United States,0,Netflix,0,0,0,1909.0,7.4,"A roundtable discussion about The Irishman (2019) with Martin Scorsese, Robert De Niro, Al Pacino and Joe Pesci."
311,John Mulaney & the Sack Lunch Bunch,"Armed with boyish charm and a sharp wit, the former SNL writer offers sly takes on marriage, his beef with babies and the time he met Bill Clinton.",Comedy,Mature Audiences,70,2015-11-13,Rhys Thomas,"Petunia, John Mulaney, Amanda Walsh",United States,0,A24,0,0,1,9211.0,7.9,"Armed with boyish charm and a sharp wit, the former SNL writer offers sly takes on marriage, his beef with babies and the time he met Bill Clinton."
312,Ghost Stories,"After receiving a file with details of three unexplained cases of apparitions, skeptical professor Phillip Goodman embarks on a terrifying trip.","Drama, Horror",Not Rated,144,2018-04-20,Karan Johar,"Samuel Bottomley, Deborah Wastell, Amy Doyle",United Kingdom,0,RSVP Movies,0,1,7,35787.0,6.4,"After receiving a file with details of three unexplained cases of apparitions, skeptical professor Phillip Goodman embarks on a terrifying trip."
313,A Fall from Grace,"Disheartened since her ex-husband's affair, Grace Waters feels restored by a new romance. But when secrets erode her short-lived joy, Grace's vulnerable side turns violent.",Thriller,Mature Audiences,120,2020-01-17,Tyler Perry,"Crystal Fox, Phylicia Rashad, Bresha Webb",United States,0,Tyler Perry Studios,0,2,0,16446.0,5.9,"Grace Waters (Crystal Fox), a longtime pillar of her Virginia community, stays composed when her ex weds his mistress and her son moves away. With convincing from her best friend Sarah (Phylicia Rashad), she tries putting herself first, and a handsome stranger (Mehcad Brooks) becomes her surprise second love. Yet any woman can snap, and Grace's new husband soon ravages her life, her work and - many say - her sanity. Shuttered in a cell awaiting trial for his murder, Grace's only hope for vindication lies with Jasmine Bryant (Bresha Webb), a public defender who has never tried a case. Co-starring Oscar nominee Cicely Tyson and writer/director Tyler Perry, A FALL FROM GRACE is a mesmerizing thriller built from unthinkable secrets."
314,Airplane Mode,"En route to Australia, Logan is terrified; it's his first time flying. All of his worst nightmares come true when the ""influencers"" aboard refuse to switch their phones to airplane mode. The internet is about to crash.",Comedy,Mature Audiences,95,2019-08-02,César Rodrigues,"Logan Paul, Lauren Swickard, Juanpa Zurita",United States,0,A Fábrica,0,0,0,4644.0,1.9,"En route to the world's largest social media convention in Australia, Logan Paul is scared to death; today is his first time flying. All of his worst nightmares come true when the passengers refuse to switch their phones to airplane mode, causing the plane's controls to go haywire and electrocuting the pilots. Amidst the chaos, Juanpa Zurita (Logan's foreign exchange brother) has one goal: to lose his virginity or die trying. It's up to Logan to overcome his fears, defeat a Russian psychopath on the loose, and save the day. Co-starring Chloe Bridges, Amanda Cerny, King Bach, Nick Bateman, Lele Pons, Roman Atwood, Casey Neistat, Brittany Furlan, and many more, the internet is about to crash and explode Logan knows he will save his fandom ."
315,Horse Girl,"Sarah, a socially isolated woman with a fondness for arts and crafts, horses, and supernatural crime shows finds her increasingly lucid dreams trickling into her waking life.","Drama, Mystery, Thriller",Mature Audiences,103,2020-01-27,Jeff Baena,"Alison Brie, Molly Shannon, Goldenite",United States,0,Duplass Brothers Productions,0,1,1,19016.0,6.0,"Sarah, a socially isolated arts and crafts store employee, finds herself more content in the company of horses and supernatural crime shows than people. But when a series of strangely surreal dreams upend the simplicity of her waking life, Sarah struggles to distinguish her visions from reality. A darkly humorous psychological thriller about a woman's search for the truth, however abstract it may be."
316,To All the Boys: P.S. I Still Love You,Lara Jean and Peter have just taken their relationship from pretend to officially official when another recipient of one of her old love letters enters the picture.,"Comedy, Drama, Romance",Mature Audiences,102,2020-02-12,Michael Fimognari,"Lana Condor, Noah Centineo, Jordan Fisher",United States,0,Overbrook Entertainment,1,2,4,43464.0,6.0,Lara Jean and Peter have just taken their relationship from pretend to officially official when another recipient of one of her old love letters enters the picture.
317,The Last Thing He Wanted,A veteran D.C. journalist loses the thread of her own narrative when a guilt-propelled errand for her father thrusts her from byline to unwitting subject in the very story she's trying to break. Adapted from Joan Didion's namesake...,"Crime, Drama, Thriller",Mature Audiences,115,2020-01-27,Dee Rees,"Anne Hathaway, Ben Affleck, Rosie Perez",United States,0,Elevated Films,1,1,1,16271.0,4.3,A veteran D.C. journalist loses the thread of her own narrative when a guilt-propelled errand for her father thrusts her from byline to unwitting subject in the very story she's trying to break. Adapted from Joan Didion's namesake novel.
318,Yeh Ballet,"Discovered by an eccentric ballet master, two gifted but underprivileged Mumbai teens face bigotry and disapproval as they pursue their dancing dreams.","Drama, Musical",Not Rated,117,2020-02-24,Sooni Taraporevala,"Julian Sands, Jim Sarbh, Sarah Jane Dias",India,0,Roy Kapur Films,0,0,0,1444.0,7.5,"Yeh Ballet is a Netflix Original Film directed by Sooni Taraporevala and produced by Roy Kapur Films. The film features two newcomers Manish Chauhan and Achintya Bose as the leads. The film also stars Julian Sands, Jim Sarbh, Danish Husain, Vijay Maurya, Heeba Shah, and Kalyanee Mulay. The film is set to release on 21 February 2020, on Netflix. [3] The film is a fictionalized version of a short documentary by Taraporevala by the same name."
319,All the Bright Places,"The story of Violet and Theodore, who meet and change each other's lives forever. As they struggle with the emotional and physical scars of their past, they discover that even the smallest places and moments can mean something.","Drama, Romance",Mature Audiences,108,2020-02-28,Brett Haley,"Elle Fanning, Justice Smith, Alexandra Shipp",United States,0,Echo Lake Entertainment,1,1,0,35570.0,6.6,"The story of Violet Markey and Theodore Finch, who meet and change each other's lives forever. As they struggle with the emotional and physical scars of their past, they come together, discovering that even the smallest places and moments can mean something."
320,Guilty,"When a college heartthrob is accused of rape by a less popular student, his girlfriend navigates various versions of the story in search of the truth.","Drama, Thriller",Mature Audiences,119,2020-03-06,Ruchi Narain,"Kiara Advani, Taher Shabbir, Akansha Ranjan Kapoor",India,0,Dharmatic Entertainment,0,6,6,4659.0,5.4,"When a college heartthrob is accused of rape by a less popular student, his girlfriend navigates various versions of the story in search of the truth."
321,Spenser Confidential,"When two Boston police officers are murdered, ex-cop Spenser teams up with his no-nonsense roommate Hawk to take down criminals.","Action, Comedy, Crime",Mature Audiences,111,2020-03-06,Peter Berg,"Mark Wahlberg, Winston Duke, Alan Arkin",United States,0,Original Film,1,0,2,93983.0,6.2,"Spenser (Mark Wahlberg) - an ex-cop better known for making trouble than solving it - just got out of prison and is leaving Boston for good. But first he gets roped into helping his old boxing coach and mentor, Henry (Alan Arkin), with a promising amateur. That's Hawk (Winston Duke), a brash, no-nonsense MMA fighter convinced he'll be a tougher opponent than Spenser ever was. When two of Spenser's former colleagues turn up murdered, he recruits Hawk and his foul-mouthed ex-girlfriend, Cissy (Iliza Shlesinger), to help him investigate and bring the culprits to justice. Inspired by Robert B. Parker's Wonderland, a best-selling novel by Ace Atkins."
322,Lost Girls,"When Mari Gilbert's daughter disappears, police inaction drives her own investigation into the gated Long Island community where Shannan was last seen. Her search brings attention to over a dozen murdered sex workers.","Crime, Drama, Mystery",Mature Audiences,95,2020-01-28,Liz Garbus,"Amy Ryan, Thomasin McKenzie, Gabriel Byrne",United States,0,Archer Gray,1,1,0,23635.0,6.2,"When Mari Gilbert's (Academy Award® nominee Amy Ryan) daughter disappears, police inaction drives her own investigation into the gated Long Island community where Shannan was last seen. Her search brings attention to over a dozen murdered sex workers Mari will not let the world forget. From Academy Award® nominated filmmaker Liz Garbus, LOST GIRLS is inspired by true events detailed in Robert Kolker's ""Lost Girls: An Unsolved American Mystery."" World premiered at the 2020 Sundance Film Festival."
323,Ultras,"Naples. At almost fifty years old Sandro is the leader of the Apache, a group of ultras with whom he has spent his whole life at the stadium: a life of violence, clashes, passions, and unshakable values. Now that a hooligan preven...",Drama,Not Rated,108,2020-03-09,Francesco Lettieri,"Aniello Arena, Ciro Nacca, Antonia Truppo",Italy,0,Indigo Film,1,0,1,5245.0,6.2,"Naples. At almost fifty years old Sandro is the leader of the Apache, a group of ultras with whom he has spent his whole life at the stadium: a life of violence, clashes, passions, and unshakable values. Now that a hooligan prevents him from approaching the curve, those values are starting to falter. He feels for the first time the need for a normal life, a relationship, maybe even a family. Also meeting Terry, who is beautiful and seems to not fear anything. Angelo is sixteen and considers the Apache his family. Sandro is his guide, the person who took the place of his brother, who died years earlier during the clashes of a trip. ULTRAS is the story of their friendship, of a faith and a love marked by the last few weeks of a football championship, and the inevitable meeting of both with their own destiny."
324,The Occupant,"Javier Muñoz, once a successful executive, makes the fateful decision to leave his home, which he and his family can no longer afford.","Drama, Thriller",Mature Audiences,103,2020-03-25,David Pastor,"Javier Gutiérrez, Mario Casas, Bruna Cusí",Spain,0,"Nostromo 
Pictures",0,0,3,18891.0,6.4,"Javier Muñoz, once a successful executive, makes the fateful decision to leave his home, which he and his family can no longer afford."
325,Maska,"Determined to make it in showbiz, an aspiring young actor considers turning his back on the beloved Irani café run by his family for generations.","Comedy, Drama, Romance",Not Rated,112,2020-03-30,Neeraj Udhwani,"Prit Kamani, Manisha Koirala, Shirley Setia",India,0,Mutant Films,0,0,2,1540.0,5.9,"Believing in the adage ""Success comes to those who dare to dream"", a confused, young millennial sets out on a desperate journey to fulfil his fantasy of becoming a movie star until a summer romance with a clear-headed girl helps him discover the fine line between dreams and delusions."
326,The Decline,A fatal accident at a remote survivalist training camp sends participants into a panic - and sets the stage for a chilling showdown.,"Action, Thriller",Mature Audiences,83,2020-03-27,Patrice Laliberté,"Guillaume Laurin, Marie-Evelyne Lessard, Réal Bossé",Canada,0,Couronne Nord,0,1,12,9465.0,6.0,"Six devoted fans of an extreme Remote Survivalist Trainer are invited to his expansive secret compound for a time of personal mentoring, when a tragic accident leaves one person dead, and the survivalist experience transforms into something none of them saw coming."
327,Uncorked,Elijah must balance his dream of becoming a master sommelier with his father's expectations that he carry on the family's Memphis BBQ joint.,Drama,Mature Audiences,104,2020-03-27,Prentice Penny,"Courtney B. Vance, Lashun Pollard, Michael Mobley",United States,1,Forge Media,1,0,0,6673.0,6.4,Elijah must balance his dream of becoming a master sommelier with his father's expectations that he carry on the family's Memphis BBQ joint.
328,Coffee & Kareem,"Some people take their coffee straight, others take it with a little cream and sugar.","Short, Comedy, Romance",Not Rated,88,2004-09-04,Michael Dowse,"Christy Geslain, Alison Haislip, Cameron Northey",United States,0,Pacific Electric Picture Co.,0,0,0,97.0,5.7,"Some people take their coffee straight, others take it with a little cream and sugar."
329,The Main Event,A bankrupt entrepreneur attempts to recoup some of her losses by getting a washed-out boxer she picked up as a tax loss back into the ring - an idea her protégé isn't fond of.,"Comedy, Romance, Sport",Parental Guidance,101,1979-06-22,Jay Karas,"Barbra Streisand, Ryan O'Neal, Paul Sand",United States,0,WWE Studios,0,4,5,3060.0,5.5,"Hillary Kramer, successful Perfume magnate awakes one morning to find that her accountant has robbed her blind and left for South America. Going through all of her remaining assets she finds a boxer, purchased as a tax write off. She decides to take Kid Natural, (Eddie Scanlon) who is much more at home giving driving lessons, into the ring and use him as her key to riches. Eddie thinks this will only get him killed and resists."
