,Title,Description,Genre,Rated,Running Time(mins),Release Date,Director,Cast,Primary Country,International,Lead Production Company,Multiple Production Companies,Wins,Nominations,IMDb Votes,IMDb Score,Plot
405,The Day of the Lord,A retired priest hunted by his sins is pulled back into darkness when a friend begs him to help his possessed daughter.,"Drama, Horror, Thriller",Not Rated,93,2020-10-30,Santiago Alvarado Ilarri,"Juli Fàbregas, Hector Illanes, Dolores Heredia",Mexico,1,Invico Capital,1,0,0,1132.0,5.0,A retired priest hunted by his sins is pulled back into darkness when a friend begs him to help his possessed daughter.
406,Operation Christmas Drop,"Congressional aide Erica forgoes family Christmas to travel at her boss's behest. At a beach side Air Force base, she clashes with Capt. Andrew Jantz, who knows her assignment is finding reasons to defund the facility.","Comedy, Family, Romance",Parental Guidance,95,2020-11-05,Martin Wood,"Kat Graham, Alexander Ludwig, Trezzo Mahoro",United States,0,MPCA,1,1,1,12428.0,5.8,"Congressional aide Erica (Graham) forgoes family Christmas to travel at her boss's behest. At a beachside Air Force base, she clashes with Capt. Andrew Jantz (Ludwig), who knows her assignment is finding reasons to defund the facility."
407,Citation,A bright student in Nigeria takes on the academic establishment when she reports a popular professor who tried to rape her. Based on real events.,"Drama, Thriller",Mature Audiences,151,2020-10-31,Kunle Afolayan,"Jimmy Jean-Louis, Ini Edo, Yomi Fash-Lanso",Nigeria,0,Golden Effects,0,1,6,1015.0,6.1,A bright student in Nigeria takes on the academic establishment when she reports a popular professor who tried to rape her. Based on real events.
408,What We Wanted,A couple facing fertility issues finds their marriage tested on a vacation to a Sardinian resort - and the family next door only adds to the tension.,Drama,Mature Audiences,93,2020-11-11,Ulrike Kofler,"Lavinia Wilson, Elyas M'Barek, Anna Unterberger",Austria,0,Film AG,0,0,7,1950.0,5.9,"Alice and Niklas are happy, they lack nothing - but a child. After several failed invitros, they go on a holiday to Sardinia to leave their wish for a child behind. Right there, however, everything they tried to repress resurfaces. A cheerful Tyrolean family moves directly into the neighboring house and seems to have everything that Alice and Niklas lack in life. An unforeseen incident changes their view on life, in which the most natural thing in the world does not avail."
409,Ludo,"From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal.","Action, Comedy, Crime",Mature Audiences,150,2020-11-12,Anurag Basu,"Pankaj Tripathi, Abhishek Bachchan, Rajkummar Rao",India,0,T-Series,0,18,37,41642.0,7.6,"From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal. Now these misfits, miscreants, lovers and losers are all unwitting pawns in this unpredictable game. The only way home? Keep playing."
410,Jingle Jangle: A Christmas Journey,"An imaginary world comes to life in a holiday tale of an eccentric toymaker, his adventurous granddaughter, and a magical invention that has the power to change their lives forever.","Family, Fantasy, Musical",Parental Guidance,122,2020-11-13,David E. Talbert,"Forest Whitaker, Keegan-Michael Key, Hugh Bonneville",United States,0,Golden Girl,1,4,22,19707.0,6.5,"In the gloriously vibrant town of Cobbleton, legendary toymaker Jeronicus Jangle's (Forest Whitaker) fanciful inventions burst with whimsy and wonder. But when his trusted apprentice (Keegan-Michael Key) steals his most prized creation, it's up to his equally bright and inventive granddaughter (Madalen Mills) - and a long-forgotten invention - to heal old wounds and reawaken the magic within."
411,The Life Ahead,"In seaside Italy, a Holocaust survivor with a daycare business takes in a 12-year-old street kid who recently robbed her.",Drama,Parental Guidance,95,2020-11-06,Edoardo Ponti,"Sophia Loren, Ibrahima Gueye, Renato Carpentieri",Italy,0,Palomar,1,14,36,15006.0,6.8,"In seaside Italy, a Holocaust survivor with a daycare business takes in a 12-year-old street kid who recently robbed her."
412,The Princess Switch: Switched Again,"When Duchess Margaret unexpectedly inherits the throne to Montenaro and hits a rough patch with Kevin, it's up to her double Stacy to save the day before a new lookalike, party girl Fiona foils their plans.","Comedy, Drama, Family",Parental Guidance,98,2020-11-19,Mike Rohl,"John Jack, Vanessa Hudgens, Sam Palladio",United States,0,MPCA,1,1,1,12668.0,5.4,"When Duchess Margaret unexpectedly inherits the throne to Montenaro and hits a rough patch with Kevin, it's up to her double Stacy to save the day before a new lookalike, party girl Fiona foils their plans."
413,Christmas on the Square,"An embittered scrooge of a woman plans to sell her small town, regardless of the consequences to the people who live there. However, a kindhearted angel arrives and shows her what would happen before she mends her ways and redeems...","Comedy, Family, Musical",Parental Guidance,98,2020-11-22,Debbie Allen,"Dolly Parton, Jenifer Lewis, Josh Segarra",United States,0,Warner Bros. Television,1,2,4,2923.0,5.2,"An embittered scrooge of a woman plans to sell her small town, regardless of the consequences to the people who live there. However, a kindhearted angel arrives and shows her what would happen before she mends her ways and redeems herself."
414,Hillbilly Elegy,"An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future.",Drama,Mature Audiences,115,2020-11-11,Ron Howard,"Amy Adams, Glenn Close, Gabriel Basso",United States,0,Imagine Entertainment,0,5,33,44817.0,6.7,"Based on the bestselling memoir by J.D. Vance, HILLBILLY ELEGY is a modern exploration of the American Dream and three generations of an Appalachian family as told by its youngest member, a Yale Law student forced to return to his hometown."
415,Notes for My Son,A woman with terminal cancer decides to keep a notebook full of musings on life and love for her toddler son to read after she dies.,Drama,Mature Audiences,84,2020-11-24,Carlos Sorin,"Valeria Bertuccelli, Esteban Lamothe, Julian Sorin",Argentina,0,Pampa Films,0,0,1,985.0,6.4,A woman with terminal cancer decides to keep a notebook full of musings on life and love for her toddler son to read after she dies.
416,The Beast,In order to inherit a fortune a young woman agrees to marry a young man. She soon discovers that his family harbours a dark past involving a monstrous beast.,"Drama, Fantasy, Horror",Not Rated,97,1977-04-15,Ludovico Di Martino,"Sirpa Lane, Lisbeth Hummel, Elisabeth Kaza",France,0,Groenlandia,1,0,0,5122.0,5.7,"Under the condition that within six months from the death of the accomplished businessman Philip Broadhurst, his beloved daughter and heiress to his immense fortune Lucy gets married to Marquis Pierre de l'Esperance's son Mathurin, innocent fair Lucy heads with her aunt to the crumbling estate of her soon-to-be husband. But the once noble estate is nestled deep in the French dense woods, where centuries ago, a wild and ravenous supernatural beast roamed the very forests driven by a raw and unquenchable lust for virginal unprotected girls. Before long, young Lucy completely unaware of the menacing legend and the strange rumours that cloud the family's name will begin experiencing appalling, yet sensually charged visions of an unprecedented vividness. Is there a bit of truth in the legend of the Beast of Gévaudan?"
417,The Call,"When a veteran 911 operator takes a life-altering call from a teenage girl who has just been abducted, she realizes that she must confront a killer from her past in order to save the girl's life.","Drama, Thriller",Mature Audiences,112,2013-03-15,Lee Chung-hyun,"Halle Berry, Evie Thompson, Abigail Breslin",United States,0,Yong Film,0,1,11,127023.0,6.7,"Jordan Turner (Halle Berry) is an experienced 911 operator but when she makes an error in judgment and a call ends badly, Jordan is rattled and unsure if she can continue, but then teenager Casey Welson (Abigail Breslin) is abducted and calls 911. Jordan is the one called upon to use all of her experience, insights and quick thinking to try to help Casey escape and also to make sure the man is brought to justice."
418,Finding Agnes,"On an emotional journey in Morocco, an entrepreneur pieces together the turbulent life of his estranged mother and meets her adopted daughter.",Drama,Not Rated,105,2020-11-30,Marla Ancheta,"Jelson Bay, Sue Ramirez, Sandy Andolong",Philippines,0,Mavx Productions,0,0,6,167.0,5.0,"On an emotional journey in Morocco, an entrepreneur pieces together the turbulent life of his estranged mother and meets her adopted daughter."
419,Just Another Christmas,"Stuck in a time loop where it's forever Christmas, a family man who hates the holiday starts to learn valuable lessons about what's important in life.","Comedy, Drama",Not Rated,101,2020-12-03,Roberto Santucci,"Arianne Botelho, Ashley Adler, Kevin Andrew Rivera",Brazil,0,Camisa Listrada Films,1,0,0,5132.0,6.7,"Stuck in a time loop where it's forever Christmas, a family man who hates the holiday starts to learn valuable lessons about what's important in life."
420,Christmas Crossfire,"A man foils an attempted murder, then flees the crew of would-be killers along with their intended target as a woman he's just met tries to find him.","Comedy, Crime, Thriller",Mature Audiences,105,2020-12-04,Detlev Buck,"Kostja Ullmann, Alli Neumann, Sascha Alexander Gersak",Germany,0,DCM Productions,1,0,0,1520.0,4.8,"A man foils an attempted murder, then flees the crew of would-be killers along with their intended target as a woman he's just met tries to find him."
421,Leyla Everlasting,"A resilient housewife, her husband and their marriage therapist become mired in a toxic love triangle and a plot to obtain an antique manuscript.",Comedy,Mature Audiences,112,2020-12-04,Ezel Akay,"Haluk Bilginer, Demet Akbag, Elçin Sangu",Turkey,0,Contact Film Works,1,0,0,7721.0,3.7,"Leyla and Adam have had a happy marriage for years. However, after a while, their marriage becomes a dead end. The excitement in their marriage is now gone, and Adam falls into a love that causes his heart to beat again. Adem, who falls in love with the woman named Nergis who comes across this period, cannot think of anyone other than Nergis. However, Nergis, who took the mind of Adam, has no intention of moving to another life from the one-man world he founded."
422,Mank,1930s Hollywood is re-evaluated through the eyes of scathing social critic and alcoholic screenwriter Herman J. Mankiewicz as he races to finish the screenplay of Citizen Kane (1941).,"Biography, Comedy, Drama",Mature Audiences,131,2020-12-04,David Fincher,"Gary Oldman, Amanda Seyfried, Lily Collins",United States,0,Netflix,1,58,268,79204.0,6.8,"1940. Film studio RKO hires 24-year-old wunderkind Orson Welles under a contract that gives him full creative control of his movies. For his first film, he calls in washed-up alcoholic Herman J Mankiewicz to write the screenplay. That film is ""Citizen Kane,"" and this is the story of how it was written."
423,The Claus Family,"After discovering his grandfather is Santa Claus, Jules has to help him deliver his presents all around the world. But Jules' hatred for Christmas might make that more difficult than Santa thought.","Comedy, Family, Fantasy",Parental Guidance,97,2021-11-01,Matthias Temmermans,"Jan Decleir, Mo Bakker, Bracha van Doesburgh",Belgium,0,Dingie,0,1,1,2616.0,5.6,"Jules Claus doesn't like Christmas. After his father died last year, he no longer wants anything to do with it. While his mother is working, Jules is spending lots of time in his grandfather's toy shop. One day he finds a magic snow globe, which takes him to the farthest parts of the world. He discovers something out of the ordinary: His grandfather is the real Santa Claus. The tradition has been in the family for years and years, and now that his father is no longer there, grandfather Claus has taken on this job once again."
424,Rose Island,"An idealistic engineer builds his own island off the Italian coast and declares it a nation, drawing the world's attention. Values are tested when the Italian Government declares him an enemy, but to change the world risks must be...","Adventure, Comedy, Drama",Mature Audiences,117,2020-12-09,Sydney Sibilia,"Elio Germano, Leonardo Lidi, Matilda De Angelis",Italy,0,Groenlandia,0,13,23,23259.0,7.0,"In 1968, engineer Giorgio Rosa established the independent state called ""The Isle of Roses"" off the coast of Rimini, built on a platform outside the territorial waters, with Esperanto as the official language. The Italian authorities did not take it well because the micro nation was seen as an expedient to not pay taxes on the revenues obtained thanks to the arrival of numerous tourists and curious people."
425,The Prom,A troupe of hilariously self-obsessed theater stars swarm into a small conservative Indiana town in support of a high-school girl who wants to take her girlfriend to the prom.,"Comedy, Drama, Musical",Parental Guidance,131,2020-12-11,Ryan Murphy,"Meryl Streep, James Corden, Nicole Kidman",United States,0,Ryan Murphy Productions,0,5,29,28390.0,5.9,"In desperate need of a noble cause to revive their public images and bounce back, self-centred Broadway thespians, Dee Dee Allen and Barry Glickman, the narcissistic stars of Eleanor, The Eleanor Roosevelt Story, have come up with a foolproof plan to earn some positive publicity. As a result, to help Emma, a bright-eyed high-school student who has recently come out of the closet, make her dream come true, the flamboyant celebrity activists and their fellow struggling actors, Angie Dickinson and Trent Oliver, head to the small town of Edgewater, Indiana, to right a wrong. But, Emma only wants to take her girlfriend to the prom, and intolerance stands in the way of acceptance and happiness. Can the bold quartet give Emma the prom she deserves?"
426,A California Christmas,"With his carefree lifestyle on the line, a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her family's land before Christmas.","Comedy, Drama, Romance",Parental Guidance,106,2020-12-14,Shaun Piccinino,"Lauren Swickard, Josh Swickard, Ali Afshar",United States,0,ESX Entertainment,0,1,0,10752.0,5.8,"With his carefree lifestyle on the line, a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her family's land before Christmas."
427,Ma Rainey's Black Bottom,Tensions rise when trailblazing blues singer Ma Rainey and her band gather at a recording studio in Chicago in 1927.,"Drama, Music",Mature Audiences,94,2020-12-18,George C. Wolfe,"Viola Davis, Chadwick Boseman, Glynn Turman",United States,0,Escape Artists,1,84,192,56316.0,6.9,"Tensions and temperatures rise over the course of an afternoon recording session in 1920s Chicago as a band of musicians await trailblazing performer, the legendary ""Mother of the Blues,"" Ma Rainey (Academy Award® winner Viola Davis). Late to the session, the fearless, fiery Ma engages in a battle of wills with her white manager and producer over control of her music. As the band waits in the studio's claustrophobic rehearsal room, ambitious trumpeter Levee (Chadwick Boseman) - who has an eye for Ma's girlfriend and is determined to stake his own claim on the music industry - spurs his fellow musicians into an eruption of stories revealing truths that will forever change the course of their lives. Adapted from two-time Pulitzer Prize winner August Wilson's play, MA RAINEY'S BLACK BOTTOM celebrates the transformative power of the blues and the artists who refuse to let society's prejudices dictate their worth. Directed by George C. Wolfe and adapted for the screen by Ruben Santiago-Hudson, the film is produced by Fences Oscar® nominees Denzel Washington and Todd Black. Colman Domingo, Glynn Turman, Michael Potts, Taylour Paige and Dusan Brown co-star alongside Grammy® winner Branford Marsalis' score."
428,The Midnight Sky,"This post-apocalyptic tale follows Augustine, a lonely scientist in the Arctic, as he races to stop Sully and her fellow astronauts from returning home to a mysterious global catastrophe.","Adventure, Drama, Sci-Fi",Parental Guidance,118,2020-12-23,George Clooney,"George Clooney, Felicity Jones, David Oyelowo",United States,0,Smokehouse Pictures,1,5,46,86857.0,5.7,"A scientist is working alone at a remote Arctic research station when he learns of a mysterious global disaster. At the same time, he meets a strange girl in the Arctic, with whom he must stop the return to Earth of the crew of the spaceship ""Aether""."
429,AK vs AK,"A filmmaker kidnaps the daughter of a movie star, and while the star searches for his daughter the director films the desperate search in real time for his next blockbuster movie.","Action, Comedy, Crime",Mature Audiences,108,2020-12-24,Vikramaditya Motwane,"Anil Kapoor, Anurag Kashyap, Sonam Kapoor",India,0,Andolan Films,0,0,4,14820.0,6.9,"Anurag Kashyap and Anil Kapoor haven't worked together since their shelved film Allwyn Kalicharan in 2003. They get into a tiff at a talk show when Anurag spills water on Anil's face in front of the whole media. Laer, Anurag decides to apologize to Anil, and on his birthday he visits his film set and tries to convince him to take the lead role in his new film. Anil is not willing, but Anurag has pre-planed everything by kidnapping his daughter Sonam and he must find his daughter before sunrise--while Anurag's camera rolls on him to get that realistic feel according to the script."
430,We Can Be Heroes,"When alien invaders capture the Earth's superheroes, their kids must learn to work together to save their parents and the planet.","Action, Comedy, Drama",Parental Guidance,97,2020-12-25,Robert Rodriguez,"YaYa Gosselin, Pedro Pascal, Priyanka Chopra Jonas",United States,0,Double R Productions,0,0,1,16238.0,4.7,"When alien invaders kidnap Earth's superheroes, their kids are whisked away to a government safe house. But whip-smart tween Missy Moreno will stop at nothing to rescue her superhero dad, Marcus Moreno. Missy teams up with the rest of the superkids to escape their mysterious government babysitter, Ms. Granada. If they're going to save their parents, they'll have to work together by using their individual powers - from elasticity to time control to predicting the future - and form an out-of-this-world team."
431,Miss Americana,A look at iconic pop artist Taylor Swift during a transformational time in her life as she embraces her role as a singer/songwriter and harnesses the full power of her voice.,"Documentary, Biography, Music",Mature Audiences,85,2020-01-23,Lana Wilson,"Taylor Swift, Andrea Swift, Scott Swift",United States,0,Tremolo Productions,0,2,5,21880.0,7.4,A look at iconic pop artist Taylor Swift during a transformational time in her life as she embraces her role as a singer/songwriter and harnesses the full power of her voice.
432,A Life of Speed: The Juan Manuel Fangio Story,The life of five-time Formula One world champion Juan Manuel Fangio. The first official documentary.,"Documentary, Biography, Sport",Not Rated,92,2020-03-20,Francisco Macri,"Jackie Stewart, Fernando Alonso, Toto Wolff",Argentina,0,Cinema 7 Films,1,0,0,2133.0,7.0,The life of five-time Formula One world champion Juan Manuel Fangio. The first official documentary.
433,Crip Camp,"Down the road from Woodstock, a revolution blossomed at a ramshackle summer camp for teenagers with disabilities, transforming their lives and igniting a landmark movement.","Documentary, History",Mature Audiences,108,2020-01-23,Nicole Newnham,"James Lebrecht, Lionel Je'Woodyard, Joseph O'Conor",United States,0,Higher Ground Productions,1,11,35,7976.0,7.7,"In the early 1970s, teenagers with disabilities faced a future shaped by isolation, discrimination and institutionalization. Camp Jened, a ramshackle camp ""for the handicapped"" in the Catskills, exploded those confines. Jened was their freewheeling Utopia, a place with summertime sports, smoking and makeout sessions awaiting everyone, and campers who felt fulfilled as human beings. Their bonds endured as they migrated West to Berkeley, California - a promised land for a growing and diverse disability community - where friends from Camp Jened realized that disruption and unity might secure life-changing accessibility for millions. Co-directed by Emmy®-winning filmmaker Nicole Newnham and film mixer and former camper Jim LeBrecht, this joyous and exuberant documentary arrives the same year as the 30th anniversary of the Americans with Disabilities Act, at a time when the country's largest minority group still battles daily for the freedom to exist. CRIP CAMP: A DISABILITY REVOLUTION is executive produced by President Barack Obama and Michelle Obama; Tonia Davis and Priya Swaminathan; Oscar® nominee Howard Gertler and Ray Lifchez, Jonathan Logan and Patty Quillin; LeBrecht, Newnham and Sara Bolder produce."
434,LA Originals,"Photographer Estevan Oriol and artist Mister Cartoon turned their Chicano roots into gritty art, impacting street culture, hip hop and beyond.",Documentary,Not Rated,92,2020-04-10,Estevan Oriol,"Estevan Oriol, Mister Cartoon, Snoop Dogg",United States,1,Underground Contenidos,0,0,0,1934.0,7.2,"Photographer Estevan Oriol and artist Mister Cartoon turned their Chicano roots into gritty art, impacting street culture, hip hop and beyond."
435,Circus of Books,"In 1976, Karen and Barry Mason had fallen on hard times and were looking for a way to support their young family when they answered an ad in the Los Angeles Times. Larry Flynt was seeking distributors for Hustler Magazine. What wa...","Documentary, Biography, History",Not Rated,92,2019-04-26,Rachel Mason,"Karen Mason, Barry Mason, Micah Mason",United States,0,No Production Company Listed,1,2,4,4856.0,7.1,"In 1976, Karen and Barry Mason had fallen on hard times and were looking for a way to support their young family when they answered an ad in the Los Angeles Times. Larry Flynt was seeking distributors for Hustler Magazine. What wa..."
436,A Secret Love,"Falling in love in 1947, two women -- Pat Henschel and pro baseball player Terry Donahue -- begin a 65-year journey of love and overcoming prejudice.","Documentary, Biography, Drama",Mature Audiences,83,2020-04-29,Chris Bolan,"Terry Donahue, Pat Henschel, Diana Bolan",United States,0,Blumhouse Productions,1,1,3,4727.0,7.8,"Falling in love in 1947, two women -- Pat Henschel and pro baseball player Terry Donahue -- begin a 65-year journey of love and overcoming prejudice."
437,Murder to Mercy: The Cyntoia Brown Story,"After 16-year-old Cyntoia Brown is sentenced to life in prison, questions about her past, physiology and the law itself call her guilt into question.",Documentary,Mature Audiences,96,2020-04-29,Daniel H. Birman,No Cast Available,United States,0,Daniel H. Birman Productions,0,0,0,2942.0,6.4,"After 16-year-old Cyntoia Brown is sentenced to life in prison, questions about her past, physiology and the law itself call her guilt into question."
438,Becoming,"Join former first lady Michelle Obama in an intimate documentary looking at her life, hopes and connection with others during her 2019 book tour for 'Becoming.'","Documentary, Biography",Parental Guidance,89,2020-05-06,Nadia Hallgren,"Elizabeth Alexander, Adrian K. Collins, Valerie Jarrett",United States,0,Higher Ground Productions,1,1,6,6579.0,7.0,"Join former first lady Michelle Obama in an intimate documentary looking at her life, hopes and connection with others during her 2019 book tour for 'Becoming.'"
439,Spelling the Dream,Chronicle of the ups and downs of four Indian-American students as they compete to realize their dream of winning the iconic tournament.,Documentary,Parental Guidance,82,2020-06-03,Sam Rega,"Srinivas Ayyagari, Jacques Bailly, Valerie Browning",United States,0,No Production Company Listed,1,1,1,783.0,6.9,"An Indian-American competitor has won the prestigious Scripps National Spelling Bee for the past 12 years straight, making the trend one of the longest in sports history. SPELLING THE DREAM chronicles the ups and downs of four Indian-American students as they compete to realize their dream of winning the iconic tournament. With fascinating perspectives from CNN's Dr. Sanjay Gupta and Fareed Zakaria, comedian Hari Kondabolu, ESPN's Kevin Negandhi, 1999 Scripps National Spelling Bee winner, Nupur Lala, and others, the film explores the reasons behind this incredible winning streak and what it means for the community."
440,One Take,Members of Thai girl group BNK48 share the ups and downs of preparing for the 6th Single Senbatsu General Election.,"Documentary, Music",Not Rated,85,2020-06-18,Manatsanun Panlertwongskul,"Jiradapa Intajak, Praewa Suthamphong",Thailand,0,iAM Films,1,0,0,52.0,5.7,Members of Thai girl group BNK48 share the ups and downs of preparing for the 6th Single Senbatsu General Election.
441,Disclosure,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.","Drama, Thriller",Mature Audiences,100,2020-01-27,Sam Feder,"Michael Douglas, Demi Moore, Donald Sutherland",United States,0,Field of Vision,1,2,2,52824.0,6.1,"Tom Sanders is a manager at a computer company in Seattle. Happily married with children, Tom had big hopes for a promotion by his boss, but it goes to Meredith Johnson, Tom's seductive ex-girlfriend, instead. Somehow Tom takes it with a grain of salt, until a personal meeting turns into a seduction when Meredith decides to relive her sexual fantasy and pick up from where they left off. Tom refuses, making Meredith frustrated. Tom's only choice; to sue for sexual harassment. But everyone believes it was the other way around and his boss wants to transfer him to another division, forcing him to lose everything. Tom discovers not only is the system rigged against him, but Meredith's going to destroy his career, and bolster her own by blaming him for a serious error of judgment on her part."
442,Athlete A,Follow the Indianapolis Star reporters that broke the story about USA Gymnastics doctor Larry Nassar's abuse and hear from gymnasts like Maggie Nichols.,"Documentary, Crime, Sport",Parental Guidance,104,2020-06-24,Bonni Cohen,"Maggie Nichols, Gina Nichols, John Nichols",United States,0,Actual Films,0,4,10,11970.0,7.6,Follow the Indianapolis Star reporters that broke the story about USA Gymnastics doctor Larry Nassar's abuse and hear from gymnasts like Maggie Nichols.
443,Mucho Mucho Amor: The Legend of Walter Mercado,"Every day for decades, Walter Mercado — the iconic, gender non-conforming astrologer — mesmerized 120 million Latino viewers with his extravagance and positivity.",Documentary,Mature Audiences,96,2020-01-01,Cristina Costantini,"Walter Mercado, Willy Acosta, Lin-Manuel Miranda",United States,0,Muck Media,1,4,9,3426.0,7.3,"Once the world's most famous astrologer, Walter Mercado seeks to resurrect a forgotten legacy. Raised in the sugar cane fields of Puerto Rico, Walter grew up to become a gender non-conforming, cape-wearing psychic whose televised horoscopes reached 120 million Latinx viewers a day for 30 years before he mysteriously disappeared."
444,The Claudia Kishi Club,Fans of the Babysitters Club books discuss the importance of the character of Claudia.,"Documentary, Short",Not Rated,17,2020-07-10,Sue Ding,"Lucia de la Garza, Mila de la Garza, Bela Salazar",United States,0,No Production Company Listed,1,0,1,149.0,6.9,"For many Asian American women (and other women of color), Claudia Kishi was the first time they saw themselves in popular media. A main character in the best-selling Baby-Sitters Club books, she was one of the only Asian Americans in 80s-90s popular culture. Not only was Claudia a rare Asian American protagonist, but she also defied stereotypical portrayals of Asian characters: she was creative, popular, and (gasp!) bad at school. For readers who craved seeing themselves in the media they consumed-not as exotic others or token sidekicks, but as fully realized human beings-Claudia was a revelation."
445,We Are One,Activists around the world fight injustice and drive social change in this documentary that follows their participation in the music video Solidarité.,Documentary,Mature Audiences,86,2020-07-14,Stéphane de Freitas,"Afaq, Panmela Castro, Stéphane de Freitas",France,0,No Production Company Listed,1,0,0,94.0,4.6,Activists around the world fight injustice and drive social change in this documentary that follows their participation in the music video Solidarité.
446,Father Soldier Son,"When Sgt. First Class Brian Eisch is critically wounded in Afghanistan, it sets him and his sons on a journey of love, loss, redemption and legacy.","Documentary, War",Mature Audiences,99,2020-07-17,Catrin Einhorn,"Brian Eisch, Isaac Eisch, Joey Eisch",United States,0,Netflix,0,3,2,1007.0,7.3,"Isaac and Joey have a superhero for a father. They worship their Dad, Brian Eisch, a decorated, third generation soldier who spends most of their childhood deployed in Afghanistan while other family members care for the boys. When Brian is injured and returns home a different man, all three must reconcile with the aftershocks of war. As Brian fights to retain control of himself and his loved ones, fate continues to challenge his belief in justice and self-determination. Catrin Einhorn and Leslye Davis's stunning ethnographic study of American masculinity and generational tragedy follows the Eischs for close to a decade as their intense father-son bond is challenged time and time again. Davis's restrained and beautiful cinematography subtly captures moments of raw anguish and unadulterated joy. This deeply moving portrait of a family called to serve explores the meaning of sacrifice, the need for purpose, and the challenges of being a father, a soldier and a son. Presented by Netflix."
447,The Speed Cubers,Discover the special bond -- and uncommon competitive spirit -- shared by the world's Rubik's Cube-solving record breakers in this documentary.,"Documentary, Short, Sport",Parental Guidance,40,2020-07-29,Sue Kim,"Max Park, Schwan Park, Philipp Weyer",United States,0,Saltwater Films,1,0,2,4020.0,7.4,"Speed Cubing, which is the competitive sport of solving a Rubik's Cube in mere seconds, has grown into a worldwide phenomenon in recent years. For nearly a decade in the sport, Feliks Zemdegs from Australia, has reigned unchallenged as the king of cubers, the greatest of all time. That is, until now. The cubing world was stunned when an unknown challenger named Max Park from California took home the Gold medal in 2017 and emerged onto the global stage. Since then, Max's rise to the top has been swift and steady, save for one obstacle in his way: Feliks. The two have been trading wins and world records steadily, neither one able to truly dominate while the other still competes. But rather than developing into a bitter rivalry, Feliks and Max have instead grown their competitive relationship into a tender yet complicated friendship. Max is highly autistic and his family has been using speed cubing as a means of therapy for his nascent social skills and emotional development. They would have never guessed that Max's biggest rival in speed cubing would become his biggest ally in his struggles with autism. Our story finds Max and Feliks on the threshold of another World Championship, both driven to win but both rooting for each other's success. Between the two friends, though, there can only be one champion. Who will it be? But perhaps more importantly, will their friendship survive the answer?"
448,Anelka: Misunderstood,"Bad boy of the French football, arrogant, precocious, misunderstood, scorer, unclassifiable, genius, unmanageable. Despite a having a career of almost 20 years at the highest level, Nicolas Anelka is still hard to define.","Documentary, Sport",Mature Audiences,94,2020-08-05,Franck Nataf,"Roman Abramovich, Fabrice Abriel, Samir Amireche",France,0,No Production Company Listed,1,0,0,3390.0,6.4,"Bad boy of the French football, arrogant, precocious, misunderstood, scorer, unclassifiable, genius, unmanageable. Despite a having a career of almost 20 years at the highest level, Nicolas Anelka is still hard to define."
449,John Was Trying to Contact Aliens,John Shepherd spent 30 years trying to contact extraterrestrials by broadcasting music millions of miles into space. After giving up the search he makes a different connection here on Earth.,"Documentary, Short, Biography",Not Rated,16,2020-01-01,Matthew Killip,"John Shepherd, John Litrenta",United States,0,Netflix,0,2,2,1640.0,6.4,John Shepherd spent 30 years trying to contact extraterrestrials by broadcasting music millions of miles into space. After giving up the search he makes a different connection here on Earth.
450,Rising Phoenix,"The history and current standing of the Paralympic Games, which has grown to become the world's third largest sporting event.","Documentary, Sport",Parental Guidance,105,2020-08-26,Ian Bonhôte,"Jean-Baptiste Alaize, Ryley Batt, Ellie Cole",United Kingdom,0,HTYT Films,0,2,8,1785.0,8.1,"The history and current standing of the Paralympic Games, which has grown to become the world's third largest sporting event."
451,My Octopus Teacher,"A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world.",Documentary,Parental Guidance,85,2020-09-04,Pippa Ehrlich,"Craig Foster, Tom Foster",South Africa,0,Off The Fence,0,11,15,59581.0,8.1,"After years of swimming every day in the freezing ocean at the tip of Africa, Craig Foster meets an unlikely teacher a young octopus who displays remarkable curiosity. Visiting her den and tracking her movements for months on end he eventually wins the animal's trust and they develop a never before seen bond between human and wild animal."
452,The Social Dilemma,"Explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations.","Documentary, Drama",Parental Guidance,94,2020-01-26,Jeff Orlowski,"Tristan Harris, Jeff Seibert, Bailey Richardson",United States,0,Exposure Labs,1,7,22,86715.0,7.6,"Set in the dark underbelly of Silicon Valley, The Social Dilemma fuses investigative documentary with enlightening narrative drama. Expert testimony from tech whistle-blowers exposes our disturbing predicament: the services Big Tech provides-search engines, networks, instant information, etc.-are merely the candy that lures us to bite. Once we're hooked and coming back for more, the real commodity they sell is their prowess to influence and manipulate us."
